canonical_path,topic,cpp_scope,saa_scope,current_depth,recommended_role,recommended_action,reason,notes
01-cloud-fundamentals/README.md,Cloud Fundamentals,not-explicitly-mapped,not-explicitly-mapped,CPP mention-only; SAA mention-only,supplementary-reference,retain; review scope labeling,Official lists are non-exhaustive; absence is not a deletion rationale.,Category README files are navigation artifacts.
02-global-infrastructure/aws-local-zones/01-overview.md,AWS Local Zones,mapped-or-supporting,mapped-or-supporting,CPP awareness; SAA intermediate,core-certification-content,retain; review scope labeling,Official lists are non-exhaustive; absence is not a deletion rationale.,Category README files are navigation artifacts.
02-global-infrastructure/aws-wavelength/01-overview.md,AWS Wavelength,mapped-or-supporting,mapped-or-supporting,CPP mention-only; SAA awareness,core-certification-content,retain; review scope labeling,Official lists are non-exhaustive; absence is not a deletion rationale.,Category README files are navigation artifacts.
02-global-infrastructure/README.md,Global Infrastructure,mapped-or-supporting,mapped-or-supporting,CPP mention-only; SAA mention-only,core-certification-content,retain; review scope labeling,Official lists are non-exhaustive; absence is not a deletion rationale.,Category README files are navigation artifacts.
03-identity-governance-and-organizations/aws-control-tower/01-overview.md,AWS Control Tower,mapped-or-supporting,mapped-or-supporting,CPP awareness; SAA intermediate,core-certification-content,retain; review scope labeling,Official lists are non-exhaustive; absence is not a deletion rationale.,Category README files are navigation artifacts.
03-identity-governance-and-organizations/aws-directory-service/01-overview.md,AWS Directory Service,mapped-or-supporting,mapped-or-supporting,CPP awareness; SAA intermediate,core-certification-content,retain; review scope labeling,Official lists are non-exhaustive; absence is not a deletion rationale.,Category README files are navigation artifacts.
03-identity-governance-and-organizations/aws-iam/01-overview.md,AWS IAM (Identity and Access Management),mapped-or-supporting,mapped-or-supporting,CPP awareness; SAA awareness,core-certification-content,retain; review scope labeling,Official lists are non-exhaustive; absence is not a deletion rationale.,Category README files are navigation artifacts.
03-identity-governance-and-organizations/aws-iam/02-users.md,IAM User,mapped-or-supporting,mapped-or-supporting,CPP awareness; SAA awareness,core-certification-content,retain; review scope labeling,Official lists are non-exhaustive; absence is not a deletion rationale.,Category README files are navigation artifacts.
03-identity-governance-and-organizations/aws-iam/03-groups.md,IAM Group,mapped-or-supporting,mapped-or-supporting,CPP awareness; SAA intermediate,core-certification-content,retain; review scope labeling,Official lists are non-exhaustive; absence is not a deletion rationale.,Category README files are navigation artifacts.
03-identity-governance-and-organizations/aws-iam/04-roles.md,AWS IAM Role,mapped-or-supporting,mapped-or-supporting,CPP awareness; SAA awareness,core-certification-content,retain; review scope labeling,Official lists are non-exhaustive; absence is not a deletion rationale.,Category README files are navigation artifacts.
03-identity-governance-and-organizations/aws-iam/05-customer-managed-policies.md,AWS customer managed policies,mapped-or-supporting,mapped-or-supporting,CPP awareness; SAA awareness,core-certification-content,retain; review scope labeling,Official lists are non-exhaustive; absence is not a deletion rationale.,Category README files are navigation artifacts.
03-identity-governance-and-organizations/aws-iam/06-inline-policies.md,IAM Inline Policy,not-explicitly-mapped,not-explicitly-mapped,CPP awareness; SAA awareness,supplementary-reference,retain; review scope labeling,Official lists are non-exhaustive; absence is not a deletion rationale.,Category README files are navigation artifacts.
03-identity-governance-and-organizations/aws-iam/07-read-only-access-policy.md,ReadOnlyAccess,not-explicitly-mapped,not-explicitly-mapped,CPP awareness; SAA intermediate,supplementary-reference,retain; review scope labeling,Official lists are non-exhaustive; absence is not a deletion rationale.,Category README files are navigation artifacts.
03-identity-governance-and-organizations/aws-iam/08-administrator-access-policy.md,Administrator Access,mapped-or-supporting,mapped-or-supporting,CPP awareness; SAA awareness,core-certification-content,retain; review scope labeling,Official lists are non-exhaustive; absence is not a deletion rationale.,Category README files are navigation artifacts.
03-identity-governance-and-organizations/aws-iam/09-access-analyzer.md,AWS IAM Access Analyzer,mapped-or-supporting,mapped-or-supporting,CPP awareness; SAA awareness,core-certification-content,retain; review scope labeling,Official lists are non-exhaustive; absence is not a deletion rationale.,Category README files are navigation artifacts.
