source_path,source_type,topic_family,sha256,size_bytes,canonical_target_paths,unique_information,duplicate_or_overlap,final_source_action,verification_status,notes
02-global-infrastructure/aws-local-zones/01-overview.md,study-note,01-overview,0266ab7658606e35a63ea74556da17aff98774b6950a883d3835ddcae313c28c,6971,02-global-infrastructure/aws-local-zones/01-overview.md,"Reviewed for definitions, features, examples, comparisons, exam tips, and architecture details.",none identified,retained-as-canonical,verified,Pre-consolidation hash; checkpoint commit 70818e2 preserves the exact source.
02-global-infrastructure/aws-wavelength/01-overview.md,study-note,01-overview,db510575df7dae23df60aa081297e566859e34a29db8a79cc3e7ddae68cfee0b,5218,02-global-infrastructure/aws-wavelength/01-overview.md,"Reviewed for definitions, features, examples, comparisons, exam tips, and architecture details.",none identified,retained-as-canonical,verified,Pre-consolidation hash; checkpoint commit 70818e2 preserves the exact source.
03-identity-governance-and-organizations/aws-control-tower/01-overview.md,study-note,01-overview,e312b06e7efc352a18f094f6c9b58937a304aa92baf2b0b0acbc2d9ba30b5c08,12414,03-identity-governance-and-organizations/aws-control-tower/01-overview.md,"Reviewed for definitions, features, examples, comparisons, exam tips, and architecture details.",none identified,retained-as-canonical,verified,Pre-consolidation hash; checkpoint commit 70818e2 preserves the exact source.
03-identity-governance-and-organizations/aws-directory-service/01-overview.md,study-note,01-overview,3b006d9d5512dfe219d3908b301e467a076869f27569eb13b1cfd731a7eec29b,8436,03-identity-governance-and-organizations/aws-directory-service/01-overview.md,"Reviewed for definitions, features, examples, comparisons, exam tips, and architecture details.",none identified,retained-as-canonical,verified,Pre-consolidation hash; checkpoint commit 70818e2 preserves the exact source.
03-identity-governance-and-organizations/aws-iam/01-overview.md,study-note,01-overview,bdec17759a6fe0039a3ae50ed924aa993d2c324ad375c83953d59c5c9c1ad8f9,6211,03-identity-governance-and-organizations/aws-iam/01-overview.md,"Reviewed for definitions, features, examples, comparisons, exam tips, and architecture details.",none identified,retained-as-canonical,verified,Pre-consolidation hash; checkpoint commit 70818e2 preserves the exact source.
03-identity-governance-and-organizations/aws-iam/02-users.md,study-note,02-users,c52349df7300a0e09baed9480f23c282632c0bfcdce7b2f46881b52f9f2199e9,4946,03-identity-governance-and-organizations/aws-iam/02-users.md,"Reviewed for definitions, features, examples, comparisons, exam tips, and architecture details.",none identified,retained-as-canonical,verified,Pre-consolidation hash; checkpoint commit 70818e2 preserves the exact source.
03-identity-governance-and-organizations/aws-iam/03-groups.md,study-note,03-groups,3edc00a155259f97e2f296b98742264a5e09cb802228e0da1c382f35e4902240,5270,03-identity-governance-and-organizations/aws-iam/03-groups.md,"Reviewed for definitions, features, examples, comparisons, exam tips, and architecture details.",none identified,retained-as-canonical,verified,Pre-consolidation hash; checkpoint commit 70818e2 preserves the exact source.
03-identity-governance-and-organizations/aws-iam/04-roles.md,study-note,04-roles,7a35ede13c6bd8f63bed51923ac52d8df281abf28132551e9313a000b7302ea6,4771,03-identity-governance-and-organizations/aws-iam/04-roles.md,"Reviewed for definitions, features, examples, comparisons, exam tips, and architecture details.",none identified,retained-as-canonical,verified,Pre-consolidation hash; checkpoint commit 70818e2 preserves the exact source.
03-identity-governance-and-organizations/aws-iam/06-inline-policies.md,study-note,06-inline-policies,82027b367618101412e87130aaca829468e364ebec83cafa48bc989d7563209f,10023,03-identity-governance-and-organizations/aws-iam/06-inline-policies.md,"Reviewed for definitions, features, examples, comparisons, exam tips, and architecture details.",none identified,retained-as-canonical,verified,Pre-consolidation hash; checkpoint commit 70818e2 preserves the exact source.
03-identity-governance-and-organizations/aws-iam/07-read-only-access-policy.md,study-note,07-read-only-access-policy,d3eda21b7da4faf6d23fb06962546de3f2941e843a58f14c93fe2e199e44ddca,5328,03-identity-governance-and-organizations/aws-iam/07-read-only-access-policy.md,"Reviewed for definitions, features, examples, comparisons, exam tips, and architecture details.",none identified,retained-as-canonical,verified,Pre-consolidation hash; checkpoint commit 70818e2 preserves the exact source.
