path,references_required,references_found,official_sources_found,volatile_facts_found,verification_date_found,issue_severity,action_taken,final_status,notes
01-cloud-fundamentals/01-shared-responsibility-model.md,yes,true,true,reviewed where applicable,true,none,none required,passed,Focused Phase 6 target reference review.
01-cloud-fundamentals/02-cloud-concepts-and-benefits.md,yes,true,true,reviewed where applicable,true,none,none required,passed,Focused Phase 6 target reference review.
02-global-infrastructure/01-regions-availability-zones-and-edge.md,yes,true,true,reviewed where applicable,true,none,none required,passed,Focused Phase 6 target reference review.
03-identity-governance-and-organizations/aws-iam/01-overview.md,yes,true,true,reviewed where applicable,true,none,none required,passed,Focused Phase 6 target reference review.
04-compute/amazon-ec2/01-overview.md,yes,false,true,reviewed where applicable,true,medium,documented for human source review,passed-with-limitation,Focused Phase 6 target reference review.
04-compute/aws-lambda/01-overview.md,yes,false,true,reviewed where applicable,true,medium,documented for human source review,passed-with-limitation,Focused Phase 6 target reference review.
04-compute/containers/01-ecs-eks-and-fargate.md,yes,true,true,reviewed where applicable,true,none,none required,passed,Focused Phase 6 target reference review.
04-compute/ec2-auto-scaling/01-target-tracking-scaling.md,yes,false,true,reviewed where applicable,true,medium,documented for human source review,passed-with-limitation,Focused Phase 6 target reference review.
04-compute/elastic-load-balancing/01-overview.md,yes,true,true,reviewed where applicable,true,none,none required,passed,Focused Phase 6 target reference review.
05-storage/amazon-ebs/01-overview.md,yes,false,true,reviewed where applicable,true,medium,documented for human source review,passed-with-limitation,Focused Phase 6 target reference review.
05-storage/amazon-efs/01-overview.md,yes,false,true,reviewed where applicable,true,medium,documented for human source review,passed-with-limitation,Focused Phase 6 target reference review.
05-storage/amazon-fsx/01-family-and-selection.md,yes,true,true,reviewed where applicable,true,none,none required,passed,Focused Phase 6 target reference review.
05-storage/amazon-s3/01-overview.md,yes,false,true,reviewed where applicable,true,medium,documented for human source review,passed-with-limitation,Focused Phase 6 target reference review.
05-storage/aws-backup/01-overview.md,yes,true,true,reviewed where applicable,true,none,none required,passed,Focused Phase 6 target reference review.
05-storage/aws-storage-gateway/01-overview.md,yes,false,true,reviewed where applicable,true,medium,documented for human source review,passed-with-limitation,Focused Phase 6 target reference review.
05-storage/ec2-instance-store/01-overview.md,yes,false,true,reviewed where applicable,true,medium,documented for human source review,passed-with-limitation,Focused Phase 6 target reference review.
06-databases/amazon-aurora/01-overview.md,yes,false,true,reviewed where applicable,true,medium,documented for human source review,passed-with-limitation,Focused Phase 6 target reference review.
06-databases/amazon-dynamodb/01-overview.md,yes,true,true,reviewed where applicable,true,none,none required,passed,Focused Phase 6 target reference review.
06-databases/amazon-elasticache/01-overview.md,yes,false,true,reviewed where applicable,true,medium,documented for human source review,passed-with-limitation,Focused Phase 6 target reference review.
06-databases/amazon-rds/01-overview.md,yes,true,true,reviewed where applicable,true,none,none required,passed,Focused Phase 6 target reference review.
