domain_id,domain_name,domain_weight,task_id,task_title,requirement_id,knowledge_or_skill,requirement_type,canonical_paths,evidence_headings,coverage_status,current_depth,required_depth,missing_architecture_elements,missing_tradeoffs,priority,recommended_action,target_path,notes
1,Design Secure Architectures,30%,1.1,Design secure access to AWS resources,SAA-1.1-01,multi-account access,knowledge,13-architecture-and-design-patterns/security/02-multi-account-governance.md,AWS Organizations; AWS Control Tower; Account Factory and Lifecycle; IAM Identity Center and Workload Access,complete,architecture-and-design,architecture-and-design,none,none,P1,none,13-architecture-and-design-patterns/security/02-multi-account-governance.md,Phase 6 Batch 6 evidence verified against lesson body and official AWS references.
1,Design Secure Architectures,30%,1.1,Design secure access to AWS resources,SAA-1.1-02,federation and IAM Identity Center,knowledge,13-architecture-and-design-patterns/security/02-multi-account-governance.md,AWS Organizations; AWS Control Tower; Account Factory and Lifecycle; IAM Identity Center and Workload Access,complete,architecture-and-design,architecture-and-design,none,none,P1,none,13-architecture-and-design-patterns/security/02-multi-account-governance.md,Phase 6 Batch 6 evidence verified against lesson body and official AWS references.
1,Design Secure Architectures,30%,1.1,Design secure access to AWS resources,SAA-1.1-03,least privilege,knowledge,03-identity-governance-and-organizations/aws-iam/06-inline-policies.md; 03-identity-governance-and-organizations/aws-iam/05-customer-managed-policies.md; 03-identity-governance-and-organizations/aws-iam/09-access-analyzer.md,IAM Inline Policy; 3. Follow least privilege; Trap 6 Missing the least-privilege angle,wrong-depth,awareness,architecture-and-design,"Decision criteria, integration, failure behavior, and scenario application","Cost, performance, security, resilience, and operational trade-offs",P1,expand-existing-lesson,03-identity-governance-and-organizations/aws-iam/06-inline-policies.md,"Evidence chosen from lesson bodies, not names or badges; verify during implementation."
1,Design Secure Architectures,30%,1.1,Design secure access to AWS resources,SAA-1.1-04,resource and identity policies,knowledge,03-identity-governance-and-organizations/aws-organizations/02-service-control-policies.md; 03-identity-governance-and-organizations/aws-control-tower/01-overview.md; 03-identity-governance-and-organizations/aws-iam/06-inline-policies.md,2. IAM policies vs SCP; 2. AWS IAM Identity Center; 1. Attached to only one IAM identity,wrong-depth,intermediate,architecture-and-design,"Decision criteria, integration, failure behavior, and scenario application","Cost, performance, security, resilience, and operational trade-offs",P1,expand-existing-lesson,03-identity-governance-and-organizations/aws-organizations/02-service-control-policies.md,"Evidence chosen from lesson bodies, not names or badges; verify during implementation."
1,Design Secure Architectures,30%,1.1,Design secure access to AWS resources,SAA-1.1-05,SCPs and Control Tower,knowledge,13-architecture-and-design-patterns/security/02-multi-account-governance.md,AWS Organizations; AWS Control Tower; Account Factory and Lifecycle; IAM Identity Center and Workload Access,complete,architecture-and-design,architecture-and-design,none,none,P1,none,13-architecture-and-design-patterns/security/02-multi-account-governance.md,Phase 6 Batch 6 evidence verified against lesson body and official AWS references.
1,Design Secure Architectures,30%,1.1,Design secure access to AWS resources,SAA-1.1-06,Design root and MFA controls,skill,03-identity-governance-and-organizations/aws-iam/01-overview.md; 03-identity-governance-and-organizations/aws-organizations/02-service-control-policies.md; 03-identity-governance-and-organizations/aws-organizations/01-overview.md,"5. Multi-Factor Authentication (MFA); 2. Applies to roots, OUs, and accounts; AWS Organizations",wrong-depth,awareness,architecture-and-design,"Decision criteria, integration, failure behavior, and scenario application","Cost, performance, security, resilience, and operational trade-offs",P1,expand-existing-lesson,03-identity-governance-and-organizations/aws-iam/01-overview.md,"Evidence chosen from lesson bodies, not names or badges; verify during implementation."
1,Design Secure Architectures,30%,1.1,Design secure access to AWS resources,SAA-1.1-07,Design cross-account and federated access,skill,03-identity-governance-and-organizations/aws-iam/03-groups.md; 03-identity-governance-and-organizations/aws-iam/02-users.md; 07-networking-and-content-delivery/networking-guide/01-cloud-practitioner-study-guide.md,1. Many users need the same access; IAM User; 3. Private access from a VPC to AWS services,wrong-depth,intermediate,architecture-and-design,"Decision criteria, integration, failure behavior, and scenario application","Cost, performance, security, resilience, and operational trade-offs",P1,expand-existing-lesson,03-identity-governance-and-organizations/aws-iam/03-groups.md,"Evidence chosen from lesson bodies, not names or badges; verify during implementation."
1,Design Secure Architectures,30%,1.1,Design secure access to AWS resources,SAA-1.1-08,Apply least privilege,skill,03-identity-governance-and-organizations/aws-iam/01-overview.md; 03-identity-governance-and-organizations/aws-iam/02-users.md; 12-billing-pricing-and-support/customer-enablement/aws-recommendation-resources/01-study-guide.md,Trap 5 Forgetting least privilege; IAM User; AWS Recommendation Services — Complete Study Guide,wrong-depth,awareness,architecture-and-design,"Decision criteria, integration, failure behavior, and scenario application","Cost, performance, security, resilience, and operational trade-offs",P1,expand-existing-lesson,03-identity-governance-and-organizations/aws-iam/01-overview.md,"Evidence chosen from lesson bodies, not names or badges; verify during implementation."
1,Design Secure Architectures,30%,1.2,Design secure workloads and applications,SAA-1.2-01,credential management,knowledge,13-architecture-and-design-patterns/security/01-data-protection-patterns.md,AWS KMS and Key Ownership; Envelope Encryption; TLS and AWS Certificate Manager; Secrets Manager and Parameter Store,complete,architecture-and-design,architecture-and-design,none,none,P0,none,13-architecture-and-design-patterns/security/01-data-protection-patterns.md,Phase 6 Batch 6 evidence verified against lesson body and official AWS references.
1,Design Secure Architectures,30%,1.2,Design secure workloads and applications,SAA-1.2-02,secure endpoints,knowledge,09-security-and-compliance/aws-network-firewall/01-overview.md; 07-networking-and-content-delivery/networking-guide/01-cloud-practitioner-study-guide.md; 12-billing-pricing-and-support/aws-savings-plans/02-study-guide.md,AWS Network Firewall; 3A. Gateway VPC Endpoints; ☁️ AWS Savings Plans — Complete Study Guide,mention-only,mention-only,architecture-and-design,"Decision criteria, integration, failure behavior, and scenario application","Cost, performance, security, resilience, and operational trade-offs",P2,expand-existing-lesson,09-security-and-compliance/aws-network-firewall/01-overview.md,"Evidence chosen from lesson bodies, not names or badges; verify during implementation."
