navigation_file,link_or_section,target,expected_behavior,actual_behavior,issue_severity,action_taken,final_status,notes
01-cloud-fundamentals/README.md,primary navigation,canonical repository content,help learners locate owned content and current status,valid internal links and current Phase 6/7 guidance,medium,updated to reconciled Phase 6 status,passed,stale Phase 5-in-progress wording
02-global-infrastructure/README.md,primary navigation,canonical repository content,help learners locate owned content and current status,valid internal links and current Phase 6/7 guidance,medium,updated to reconciled Phase 6 status,passed,stale Phase 5-in-progress wording
03-identity-governance-and-organizations/README.md,primary navigation,canonical repository content,help learners locate owned content and current status,valid internal links and current Phase 6/7 guidance,medium,updated to reconciled Phase 6 status,passed,stale Phase 5-in-progress wording
04-compute/README.md,primary navigation,canonical repository content,help learners locate owned content and current status,valid internal links and current Phase 6/7 guidance,medium,updated to reconciled Phase 6 status,passed,stale Phase 5-in-progress wording
05-storage/README.md,primary navigation,canonical repository content,help learners locate owned content and current status,valid internal links and current Phase 6/7 guidance,medium,updated to reconciled Phase 6 status,passed,stale Phase 5-in-progress wording
06-databases/README.md,primary navigation,canonical repository content,help learners locate owned content and current status,valid internal links and current Phase 6/7 guidance,none,none required,passed,none
07-networking-and-content-delivery/README.md,primary navigation,canonical repository content,help learners locate owned content and current status,valid internal links and current Phase 6/7 guidance,medium,updated to reconciled Phase 6 status,passed,stale Phase 5-in-progress wording
08-serverless-and-application-integration/README.md,primary navigation,canonical repository content,help learners locate owned content and current status,valid internal links and current Phase 6/7 guidance,none,none required,passed,none
09-security-and-compliance/README.md,primary navigation,canonical repository content,help learners locate owned content and current status,valid internal links and current Phase 6/7 guidance,medium,updated to reconciled Phase 6 status,passed,stale Phase 5-in-progress wording
10-monitoring-management-and-deployment/README.md,primary navigation,canonical repository content,help learners locate owned content and current status,valid internal links and current Phase 6/7 guidance,medium,updated to reconciled Phase 6 status,passed,stale Phase 5-in-progress wording
11-migration-and-hybrid-cloud/README.md,primary navigation,canonical repository content,help learners locate owned content and current status,valid internal links and current Phase 6/7 guidance,medium,updated to reconciled Phase 6 status,passed,stale Phase 5-in-progress wording
12-billing-pricing-and-support/README.md,primary navigation,canonical repository content,help learners locate owned content and current status,valid internal links and current Phase 6/7 guidance,medium,updated to reconciled Phase 6 status,passed,stale Phase 5-in-progress wording
13-architecture-and-design-patterns/README.md,primary navigation,canonical repository content,help learners locate owned content and current status,valid internal links and current Phase 6/7 guidance,medium,updated to reconciled Phase 6 status,passed,stale Phase 5-in-progress wording
14-ai-ml-analytics-and-other-services/README.md,primary navigation,canonical repository content,help learners locate owned content and current status,valid internal links and current Phase 6/7 guidance,medium,updated to reconciled Phase 6 status,passed,stale Phase 5-in-progress wording
15-comparisons-and-decision-guides/README.md,primary navigation,canonical repository content,help learners locate owned content and current status,valid internal links and current Phase 6/7 guidance,medium,updated to reconciled Phase 6 status,passed,stale Phase 5-in-progress wording
15-comparisons-and-decision-guides/analytics/README.md,primary navigation,canonical repository content,help learners locate owned content and current status,valid internal links and current Phase 6/7 guidance,none,none required,passed,none
15-comparisons-and-decision-guides/application-integration/README.md,primary navigation,canonical repository content,help learners locate owned content and current status,valid internal links and current Phase 6/7 guidance,none,none required,passed,none
15-comparisons-and-decision-guides/cost/README.md,primary navigation,canonical repository content,help learners locate owned content and current status,valid internal links and current Phase 6/7 guidance,none,none required,passed,none
15-comparisons-and-decision-guides/databases/README.md,primary navigation,canonical repository content,help learners locate owned content and current status,valid internal links and current Phase 6/7 guidance,none,none required,passed,none
15-comparisons-and-decision-guides/identity-and-governance/README.md,primary navigation,canonical repository content,help learners locate owned content and current status,valid internal links and current Phase 6/7 guidance,none,none required,passed,none
15-comparisons-and-decision-guides/migration/README.md,primary navigation,canonical repository content,help learners locate owned content and current status,valid internal links and current Phase 6/7 guidance,none,none required,passed,none
15-comparisons-and-decision-guides/networking/README.md,primary navigation,canonical repository content,help learners locate owned content and current status,valid internal links and current Phase 6/7 guidance,none,none required,passed,none
15-comparisons-and-decision-guides/operations/README.md,primary navigation,canonical repository content,help learners locate owned content and current status,valid internal links and current Phase 6/7 guidance,none,none required,passed,none
15-comparisons-and-decision-guides/security/README.md,primary navigation,canonical repository content,help learners locate owned content and current status,valid internal links and current Phase 6/7 guidance,none,none required,passed,none
15-comparisons-and-decision-guides/storage/README.md,primary navigation,canonical repository content,help learners locate owned content and current status,valid internal links and current Phase 6/7 guidance,none,none required,passed,none
16-exam-preparation/README.md,primary navigation,canonical repository content,help learners locate owned content and current status,valid internal links and current Phase 6/7 guidance,medium,added explicit CPP/SAA paths and final readiness checklist,passed,study order and final readiness checklist were implicit
90-archive/README.md,primary navigation,canonical repository content,help learners locate owned content and current status,valid internal links and current Phase 6/7 guidance,none,none required,passed,none
README.md,primary navigation,canonical repository content,help learners locate owned content and current status,valid internal links and current Phase 6/7 guidance,none,none required,passed,none
docs/README.md,primary navigation,canonical repository content,help learners locate owned content and current status,valid internal links and current Phase 6/7 guidance,medium,"added final-review, release, limitations, and maintenance links",passed,final-review and release documents were absent from the documentation index
docs/repository-map.md,primary navigation,canonical repository content,help learners locate owned content and current status,valid internal links and current Phase 6/7 guidance,none,none required,passed,none
docs/service-index.md,primary navigation,canonical repository content,help learners locate owned content and current status,valid internal links and current Phase 6/7 guidance,none,none required,passed,none
