"backlog_id","priority","gap_type","certification","official_domain","official_task","official_requirement","topic","current_paths","target_path","recommended_action","batch","selected","selection_reason","dependencies","acceptance_criteria","status","notes"
"AWS-001","P0","missing-topic","both","Cloud foundations","Shared responsibility","responsibility allocation","Shared Responsibility Model","01-cloud-fundamentals/README.md","01-cloud-fundamentals/01-shared-responsibility-model.md","create-new-lesson","Batch 1","false","Completed and reconciled before Batch 4; retained as dependency history.","none","Target provides overview; service-model responsibility shifts; ec2/rds/lambda scenarios; cites current official AWS sources; matches fundamental CPP and architecture-and-design SAA depth where applicable; filename and links validate.","already-completed","No Batch 4 learning implementation authorized."
"AWS-002","P0","missing-topic","CPP","Cloud Concepts","Task 1.1","cloud value proposition","Cloud benefits","01-cloud-fundamentals/README.md","01-cloud-fundamentals/02-cloud-concepts-and-benefits.md","create-new-lesson","Batch 1","false","Completed and reconciled before Batch 4; retained as dependency history.","none","Target provides benefits; economics; agility; elasticity; global reach; scenarios; cites current official AWS sources; matches fundamental CPP and awareness SAA depth where applicable; filename and links validate.","already-completed","No Batch 4 learning implementation authorized."
"AWS-003","P0","partial-topic","both","Cloud Technology / Resilience","Global infrastructure","Regions and AZs","Global infrastructure fundamentals","02-global-infrastructure/README.md","02-global-infrastructure/01-regions-availability-zones-and-edge.md","create-new-lesson","Batch 1","false","Completed and reconciled before Batch 4; retained as dependency history.","AWS-002","Target provides regions; azs; edge; service scope; ha; selection trade-offs; cites current official AWS sources; matches fundamental CPP and architecture-and-design SAA depth where applicable; filename and links validate.","already-completed","No Batch 4 learning implementation authorized."
"AWS-004","P0","wrong-certification-depth","both","Security","Access management","IAM fundamentals and design","IAM","03-identity-governance-and-organizations/aws-iam/01-overview.md","03-identity-governance-and-organizations/aws-iam/01-overview.md","expand-existing-lesson","Batch 1","false","Completed and reconciled before Batch 4; retained as dependency history.","none","Target provides root; mfa; users/groups/roles; policies; federation; cross-account; least privilege; cites current official AWS sources; matches fundamental CPP and architecture-and-design SAA depth where applicable; filename and links validate.","already-completed","No Batch 4 learning implementation authorized."
"AWS-005","P0","missing-saa-architecture","both","Cloud Concepts / Resilience","Well-Architected","six pillars and design reasoning","Well-Architected foundations","13-architecture-and-design-patterns/aws-well-architected-framework/01-overview.md","13-architecture-and-design-patterns/aws-well-architected-framework/01-overview.md","expand-existing-lesson","Batch 1","false","Completed and reconciled before Batch 4; retained as dependency history.","AWS-002","Target provides six pillars; trade-offs; review process; scenarios; cites current official AWS sources; matches fundamental CPP and architecture-and-design SAA depth where applicable; filename and links validate.","already-completed","No Batch 4 learning implementation authorized."
"AWS-006","P1","outdated-terminology","both","Multiple","Terminology","current service and support names","Critical terminology corrections","manual-review","manual-review","correct-terminology","Batch 1","false","Completed and reconciled before Batch 4; retained as dependency history.","none","Target provides apply terminology audit findings only after source verification; cites current official AWS sources; matches awareness CPP and architecture-and-design SAA depth where applicable; filename and links validate.","already-completed","No Batch 4 learning implementation authorized."
"AWS-007","P0","missing-topic","both","Compute","Compute selection","EC2 foundations and design","Amazon EC2","04-compute/amazon-ec2/01-overview.md","04-compute/amazon-ec2/01-overview.md","expand-existing-lesson","Batch 2","false","Completed and reconciled before Batch 4; retained as dependency history.","AWS-003; AWS-004","Target provides families; sizing; lifecycle; storage/network; ha; security; cost; selection; cites current official AWS sources; matches fundamental CPP and scenario-ready SAA depth where applicable; filename and links validate.","already-completed","No Batch 4 learning implementation authorized."
"AWS-008","P1","missing-saa-architecture","SAA","Resilience/Performance","Elastic compute","load balancing selection","Elastic Load Balancing","04-compute/README.md","04-compute/elastic-load-balancing/01-overview.md","create-new-lesson","Batch 2","false","Completed and reconciled before Batch 4; retained as dependency history.","AWS-007","Target provides alb/nlb/gwlb; health; cross-zone; tls; ha; cost; cites current official AWS sources; matches awareness CPP and scenario-ready SAA depth where applicable; filename and links validate.","already-completed","No Batch 4 learning implementation authorized."
"AWS-009","P1","partial-topic","both","Compute","Elastic compute","scaling policies and metrics","EC2 Auto Scaling","04-compute/ec2-auto-scaling/01-target-tracking-scaling.md","04-compute/ec2-auto-scaling/01-target-tracking-scaling.md","expand-existing-lesson","Batch 2","false","Completed and reconciled before Batch 4; retained as dependency history.","AWS-008","Target provides target tracking; step; scheduled; health; capacity; trade-offs; cites current official AWS sources; matches fundamental CPP and scenario-ready SAA depth where applicable; filename and links validate.","already-completed","No Batch 4 learning implementation authorized."
"AWS-010","P1","wrong-certification-depth","both","Compute","Compute selection","serverless design","AWS Lambda","04-compute/aws-lambda/01-overview.md","04-compute/aws-lambda/01-overview.md","expand-existing-lesson","Batch 2","false","Completed and reconciled before Batch 4; retained as dependency history.","none","Target provides invocation; scaling; limits concept; integrations; security; failure; cost; cites current official AWS sources; matches fundamental CPP and scenario-ready SAA depth where applicable; filename and links validate.","already-completed","No Batch 4 learning implementation authorized."
