backlog_id,priority,gap_type,certification,official_domain,official_task,official_requirement,topic,current_paths,target_path,recommended_action,required_cpp_depth,required_saa_depth,required_sections,related_services,dependencies,official_sources_required,estimated_effort,batch,acceptance_criteria,status,notes
AWS-001,P0,missing-topic,both,Cloud foundations,Shared responsibility,responsibility allocation,Shared Responsibility Model,01-cloud-fundamentals/README.md,01-cloud-fundamentals/01-shared-responsibility-model.md,create-new-lesson,fundamental,architecture-and-design,Overview; service-model responsibility shifts; EC2/RDS/Lambda scenarios,EC2; RDS; Lambda,none,CPP and SAA exam guides,M,Batch 1,Target provides overview; service-model responsibility shifts; ec2/rds/lambda scenarios; cites current official AWS sources; matches fundamental CPP and architecture-and-design SAA depth where applicable; filename and links validate.,not-started,Phase 5 planning only; no lesson implementation performed.
AWS-002,P0,missing-topic,CPP,Cloud Concepts,Task 1.1,cloud value proposition,Cloud benefits,01-cloud-fundamentals/README.md,01-cloud-fundamentals/02-cloud-concepts-and-benefits.md,create-new-lesson,fundamental,awareness,Benefits; economics; agility; elasticity; global reach; scenarios,AWS Cloud,none,CPP exam guide,M,Batch 1,Target provides benefits; economics; agility; elasticity; global reach; scenarios; cites current official AWS sources; matches fundamental CPP and awareness SAA depth where applicable; filename and links validate.,not-started,Phase 5 planning only; no lesson implementation performed.
AWS-003,P0,partial-topic,both,Cloud Technology / Resilience,Global infrastructure,Regions and AZs,Global infrastructure fundamentals,02-global-infrastructure/README.md,02-global-infrastructure/01-regions-availability-zones-and-edge.md,create-new-lesson,fundamental,architecture-and-design,Regions; AZs; edge; service scope; HA; selection trade-offs,Regions; AZs; CloudFront,AWS-002,CPP and SAA exam guides,M,Batch 1,Target provides regions; azs; edge; service scope; ha; selection trade-offs; cites current official AWS sources; matches fundamental CPP and architecture-and-design SAA depth where applicable; filename and links validate.,not-started,Phase 5 planning only; no lesson implementation performed.
AWS-004,P0,wrong-certification-depth,both,Security,Access management,IAM fundamentals and design,IAM,03-identity-governance-and-organizations/aws-iam/01-overview.md,03-identity-governance-and-organizations/aws-iam/01-overview.md,expand-existing-lesson,fundamental,architecture-and-design,Root; MFA; users/groups/roles; policies; federation; cross-account; least privilege,IAM; Identity Center; STS,none,CPP and SAA exam guides; IAM docs,L,Batch 1,Target provides root; mfa; users/groups/roles; policies; federation; cross-account; least privilege; cites current official AWS sources; matches fundamental CPP and architecture-and-design SAA depth where applicable; filename and links validate.,not-started,Phase 5 planning only; no lesson implementation performed.
AWS-005,P0,missing-saa-architecture,both,Cloud Concepts / Resilience,Well-Architected,six pillars and design reasoning,Well-Architected foundations,13-architecture-and-design-patterns/aws-well-architected-framework/01-overview.md,13-architecture-and-design-patterns/aws-well-architected-framework/01-overview.md,expand-existing-lesson,fundamental,architecture-and-design,Six pillars; trade-offs; review process; scenarios,Well-Architected Tool,AWS-002,Exam guides; Well-Architected docs,M,Batch 1,Target provides six pillars; trade-offs; review process; scenarios; cites current official AWS sources; matches fundamental CPP and architecture-and-design SAA depth where applicable; filename and links validate.,not-started,Phase 5 planning only; no lesson implementation performed.
AWS-006,P1,outdated-terminology,both,Multiple,Terminology,current service and support names,Critical terminology corrections,manual-review,manual-review,correct-terminology,awareness,architecture-and-design,Apply terminology audit findings only after source verification,Amazon Quick; SageMaker AI; AWS Health,none,Official service pages,M,Batch 1,Target provides apply terminology audit findings only after source verification; cites current official AWS sources; matches awareness CPP and architecture-and-design SAA depth where applicable; filename and links validate.,not-started,Manual review is required because this is a cross-repository correction whose exact lesson targets must be selected from the corresponding audit before edits begin; Phase 5 performs no implementation.
AWS-007,P0,missing-topic,both,Compute,Compute selection,EC2 foundations and design,Amazon EC2,04-compute/amazon-ec2/01-overview.md,04-compute/amazon-ec2/01-overview.md,expand-existing-lesson,fundamental,scenario-ready,Families; sizing; lifecycle; storage/network; HA; security; cost; selection,EC2; EBS; ELB; Auto Scaling,AWS-003; AWS-004,EC2 docs; exam guides,L,Batch 2,Target provides families; sizing; lifecycle; storage/network; ha; security; cost; selection; cites current official AWS sources; matches fundamental CPP and scenario-ready SAA depth where applicable; filename and links validate.,not-started,Phase 5 planning only; no lesson implementation performed.
AWS-008,P1,missing-saa-architecture,SAA,Resilience/Performance,Elastic compute,load balancing selection,Elastic Load Balancing,04-compute/README.md,04-compute/elastic-load-balancing/01-overview.md,create-new-lesson,awareness,scenario-ready,ALB/NLB/GWLB; health; cross-zone; TLS; HA; cost,ELB; EC2; Auto Scaling,AWS-007,ELB docs,L,Batch 2,Target provides alb/nlb/gwlb; health; cross-zone; tls; ha; cost; cites current official AWS sources; matches awareness CPP and scenario-ready SAA depth where applicable; filename and links validate.,not-started,Phase 5 planning only; no lesson implementation performed.
AWS-009,P1,partial-topic,both,Compute,Elastic compute,scaling policies and metrics,EC2 Auto Scaling,04-compute/ec2-auto-scaling/01-target-tracking-scaling.md,04-compute/ec2-auto-scaling/01-target-tracking-scaling.md,expand-existing-lesson,fundamental,scenario-ready,Target tracking; step; scheduled; health; capacity; trade-offs,EC2; ELB; CloudWatch,AWS-008,Auto Scaling docs,L,Batch 2,Target provides target tracking; step; scheduled; health; capacity; trade-offs; cites current official AWS sources; matches fundamental CPP and scenario-ready SAA depth where applicable; filename and links validate.,not-started,Phase 5 planning only; no lesson implementation performed.
AWS-010,P1,wrong-certification-depth,both,Compute,Compute selection,serverless design,AWS Lambda,04-compute/aws-lambda/01-overview.md,04-compute/aws-lambda/01-overview.md,expand-existing-lesson,fundamental,scenario-ready,Invocation; scaling; limits concept; integrations; security; failure; cost,Lambda; API Gateway; SQS; EventBridge,none,Lambda docs,L,Batch 2,Target provides invocation; scaling; limits concept; integrations; security; failure; cost; cites current official AWS sources; matches fundamental CPP and scenario-ready SAA depth where applicable; filename and links validate.,not-started,Phase 5 planning only; no lesson implementation performed.
AWS-011,P1,missing-topic,both,Compute,Containers,container service selection,Containers,04-compute/README.md,04-compute/containers/01-ecs-eks-and-fargate.md,create-new-lesson,awareness,architecture-and-design,ECS/EKS/Fargate; EC2 launch; selection; scaling; operations; cost,ECS; EKS; ECR; Fargate,none,Container service docs,L,Batch 2,Target provides ecs/eks/fargate; ec2 launch; selection; scaling; operations; cost; cites current official AWS sources; matches awareness CPP and architecture-and-design SAA depth where applicable; filename and links validate.,not-started,Phase 5 planning only; no lesson implementation performed.
AWS-012,P0,wrong-certification-depth,both,Storage,Storage selection,object storage design,Amazon S3,05-storage/amazon-s3/01-overview.md,05-storage/amazon-s3/01-overview.md,expand-existing-lesson,fundamental,scenario-ready,Durability; availability; security; versioning; replication; events; performance; cost,S3; KMS; CloudFront,none,S3 docs,L,Batch 2,Target provides durability; availability; security; versioning; replication; events; performance; cost; cites current official AWS sources; matches fundamental CPP and scenario-ready SAA depth where applicable; filename and links validate.,not-started,Phase 5 planning only; no lesson implementation performed.
AWS-013,P1,partial-topic,both,Storage,Storage selection,block storage performance,Amazon EBS,05-storage/amazon-ebs/01-overview.md,05-storage/amazon-ebs/01-overview.md,expand-existing-lesson,fundamental,architecture-and-design,Volume types; IOPS/throughput; snapshots; encryption; AZ scope; cost,EBS; EC2,AWS-007,EBS docs,M,Batch 2,Target provides volume types; iops/throughput; snapshots; encryption; az scope; cost; cites current official AWS sources; matches fundamental CPP and architecture-and-design SAA depth where applicable; filename and links validate.,not-started,Phase 5 planning only; no lesson implementation performed.
AWS-014,P2,partial-topic,both,Storage,Storage selection,ephemeral block storage,EC2 instance store,05-storage/ec2-instance-store/01-overview.md,05-storage/ec2-instance-store/01-overview.md,expand-existing-lesson,fundamental,architecture-and-design,Ephemeral behavior; performance; failure; suitable data; EBS comparison,EC2; EBS,AWS-007,EC2 storage docs,S,Batch 2,Target provides ephemeral behavior; performance; failure; suitable data; ebs comparison; cites current official AWS sources; matches fundamental CPP and architecture-and-design SAA depth where applicable; filename and links validate.,not-started,Phase 5 planning only; no lesson implementation performed.
AWS-015,P1,wrong-certification-depth,both,Storage,Storage selection,shared file storage,Amazon EFS,05-storage/amazon-efs/01-overview.md,05-storage/amazon-efs/01-overview.md,expand-existing-lesson,fundamental,architecture-and-design,Regional design; mount targets; performance; lifecycle; security; cost,EFS; EC2; Lambda,none,EFS docs,M,Batch 2,Target provides regional design; mount targets; performance; lifecycle; security; cost; cites current official AWS sources; matches fundamental CPP and architecture-and-design SAA depth where applicable; filename and links validate.,not-started,Phase 5 planning only; no lesson implementation performed.
AWS-016,P2,partial-topic,both,Storage,Storage selection,managed file systems,Amazon FSx,05-storage/amazon-fsx-for-lustre/01-overview.md,05-storage/amazon-fsx/01-family-and-selection.md,create-comparison-guide,awareness,architecture-and-design,FSx families; protocols; performance; HA; integration; selection,FSx; S3; EFS,none,FSx docs,M,Batch 2,Target provides fsx families; protocols; performance; ha; integration; selection; cites current official AWS sources; matches awareness CPP and architecture-and-design SAA depth where applicable; filename and links validate.,not-started,Phase 5 planning only; no lesson implementation performed.
