canonical_path,title,main_category,services_mentioned,concepts_covered,current_cpp_badge,current_saa_badge,actual_cpp_depth,actual_saa_depth,architecture_scenarios,comparisons,pricing_content,security_content,resilience_content,official_references,last_verified,content_quality,terminology_status,fact_review_required,navigation_status,notes
01-cloud-fundamentals/README.md,Cloud Fundamentals,01-cloud-fundamentals,,,false,false,mention-only,mention-only,no,no,no,no,no,,not-stated,too-shallow,current-or-no-issue-detected,yes,category-index,Body inspected; 26 words; 1 headings. Automated evidence inventory requires human confirmation before implementation.
02-global-infrastructure/aws-local-zones/01-overview.md,AWS Local Zones,02-global-infrastructure,AWS Outposts; AWS Wavelength,high availability; fault tolerance; Multi-AZ design; Multi-Region design; AWS Support resources; AWS APIs; AWS re:Post; AWS Support Center and plans,false,false,awareness,intermediate,no,no,no,no,yes,,not-stated,strong,current-or-no-issue-detected,yes,missing-local-index,Body inspected; 1078 words; 32 headings. Automated evidence inventory requires human confirmation before implementation.
02-global-infrastructure/aws-wavelength/01-overview.md,AWS Wavelength,02-global-infrastructure,AWS Global Accelerator; AWS Outposts; AWS Wavelength; Amazon CloudFront; Amazon EC2; Amazon VPC,AWS global infrastructure; AWS Support resources; AWS re:Post; AWS Support Center and plans,false,false,mention-only,awareness,no,yes,no,no,no,,not-stated,adequate,current-or-no-issue-detected,yes,missing-local-index,Body inspected; 793 words; 17 headings. Automated evidence inventory requires human confirmation before implementation.
02-global-infrastructure/README.md,Global Infrastructure,02-global-infrastructure,AWS Wavelength,AWS global infrastructure,false,false,mention-only,mention-only,no,no,no,no,no,,not-stated,too-shallow,current-or-no-issue-detected,yes,category-index,Body inspected; 48 words; 1 headings. Automated evidence inventory requires human confirmation before implementation.
03-identity-governance-and-organizations/aws-control-tower/01-overview.md,AWS Control Tower,03-identity-governance-and-organizations,AWS CloudTrail; AWS Config; AWS Control Tower; AWS IAM; AWS IAM Identity Center; AWS Organizations; AWS Security Hub; AWS Service Catalog,AWS Well-Architected Framework; multi-account governance; Multi-AZ design; AWS compliance; AWS re:Post; management and governance,false,false,awareness,intermediate,no,no,no,yes,no,,not-stated,strong,current-or-no-issue-detected,yes,missing-local-index,Body inspected; 1779 words; 55 headings. Automated evidence inventory requires human confirmation before implementation.
03-identity-governance-and-organizations/aws-directory-service/01-overview.md,AWS Directory Service,03-identity-governance-and-organizations,AWS Directory Service; AWS Support; Amazon Cognito; Amazon EC2; Amazon WorkSpaces,high availability; multi-account governance; Multi-AZ design; AWS Support resources; AWS Support Center and plans,false,false,awareness,intermediate,yes,yes,yes,yes,no,,not-stated,strong,current-or-no-issue-detected,yes,missing-local-index,Body inspected; 1266 words; 31 headings. Automated evidence inventory requires human confirmation before implementation.
03-identity-governance-and-organizations/aws-iam/01-overview.md,AWS IAM (Identity and Access Management),03-identity-governance-and-organizations,AWS CLI; AWS IAM; AWS IAM Identity Center; AWS Management Console,least privilege; multi-account governance; Multi-AZ design; Multi-Region design; AWS Support resources; AWS Management Console and AWS CLI; AWS Support Center and plans,false,false,awareness,awareness,no,yes,no,yes,no,,not-stated,strong,current-or-no-issue-detected,yes,listed-in-category-readme,Body inspected; 966 words; 29 headings. Automated evidence inventory requires human confirmation before implementation.
03-identity-governance-and-organizations/aws-iam/02-users.md,IAM User,03-identity-governance-and-organizations,AWS IAM; AWS IAM Identity Center; AWS Management Console,least privilege; multi-account governance; Multi-AZ design; AWS Management Console and AWS CLI; AWS Support Center and plans,false,false,awareness,awareness,no,yes,no,yes,no,,not-stated,adequate,current-or-no-issue-detected,yes,listed-in-category-readme,Body inspected; 781 words; 17 headings. Automated evidence inventory requires human confirmation before implementation.
03-identity-governance-and-organizations/aws-iam/03-groups.md,IAM Group,03-identity-governance-and-organizations,Amazon CloudWatch; Amazon S3,multi-account governance; Multi-AZ design,false,false,awareness,intermediate,no,yes,no,yes,no,,not-stated,adequate,review-required,yes,listed-in-category-readme,Body inspected; 849 words; 31 headings. Automated evidence inventory requires human confirmation before implementation.
03-identity-governance-and-organizations/aws-iam/04-roles.md,AWS IAM Role,03-identity-governance-and-organizations,AWS IAM,federation and cross-account access; AWS Support resources,false,false,awareness,awareness,no,yes,no,yes,no,,not-stated,adequate,current-or-no-issue-detected,yes,listed-in-category-readme,Body inspected; 761 words; 21 headings. Automated evidence inventory requires human confirmation before implementation.
03-identity-governance-and-organizations/aws-iam/05-customer-managed-policies.md,AWS customer managed policies,03-identity-governance-and-organizations,AWS Config; AWS Organizations,least privilege; multi-account governance; Multi-AZ design; AWS Support resources,true,false,awareness,awareness,no,yes,no,yes,no,,not-stated,strong,current-or-no-issue-detected,yes,listed-in-category-readme,Body inspected; 1136 words; 32 headings. Automated evidence inventory requires human confirmation before implementation.
03-identity-governance-and-organizations/aws-iam/06-inline-policies.md,IAM Inline Policy,03-identity-governance-and-organizations,,least privilege; Multi-AZ design; object block and file storage,false,false,awareness,awareness,no,yes,no,yes,no,,not-stated,strong,current-or-no-issue-detected,yes,listed-in-category-readme,Body inspected; 1524 words; 62 headings. Automated evidence inventory requires human confirmation before implementation.
03-identity-governance-and-organizations/aws-iam/07-read-only-access-policy.md,ReadOnlyAccess,03-identity-governance-and-organizations,,least privilege; AWS Support resources,false,false,awareness,intermediate,yes,yes,no,yes,no,,not-stated,adequate,current-or-no-issue-detected,yes,listed-in-category-readme,Body inspected; 764 words; 26 headings. Automated evidence inventory requires human confirmation before implementation.
03-identity-governance-and-organizations/aws-iam/08-administrator-access-policy.md,Administrator Access,03-identity-governance-and-organizations,AWS Organizations,least privilege; AWS Support resources; AWS Support Center and plans,false,false,awareness,awareness,no,no,no,yes,no,,not-stated,strong,current-or-no-issue-detected,yes,listed-in-category-readme,Body inspected; 943 words; 29 headings. Automated evidence inventory requires human confirmation before implementation.
03-identity-governance-and-organizations/aws-iam/09-access-analyzer.md,AWS IAM Access Analyzer,03-identity-governance-and-organizations,AWS CloudTrail; AWS Config; AWS IAM; AWS KMS; AWS Organizations; AWS Secrets Manager; AWS Security Hub; Amazon ECR; Amazon S3; Amazon SNS; Amazon SQS,least privilege; multi-account governance; Multi-AZ design; Multi-Region design; AWS Support resources; AWS compliance,false,false,awareness,awareness,no,yes,no,yes,no,,not-stated,strong,current-or-no-issue-detected,yes,listed-in-category-readme,Body inspected; 1117 words; 34 headings. Automated evidence inventory requires human confirmation before implementation.
03-identity-governance-and-organizations/aws-iam/10-root-user.md,AWS Account Root User,03-identity-governance-and-organizations,AWS Organizations,multi-account governance; Multi-AZ design; AWS Management Console and AWS CLI; management and governance,false,false,awareness,awareness,no,yes,no,yes,no,,not-stated,strong,current-or-no-issue-detected,yes,listed-in-category-readme,Body inspected; 1018 words; 31 headings. Automated evidence inventory requires human confirmation before implementation.
