path,item_type,expected_role,actual_role,canonical_status,navigation_status,issue_severity,issue_description,action_taken,validation_result,notes
01-cloud-fundamentals/README.md,top-level-category,canonical category navigation,category navigation with canonical lesson links,canonical-category,valid,none,none,stale Phase 5 status wording corrected,passed,Category exists intentionally and has a README.
02-global-infrastructure/README.md,top-level-category,canonical category navigation,category navigation with canonical lesson links,canonical-category,valid,none,none,stale Phase 5 status wording corrected,passed,Category exists intentionally and has a README.
03-identity-governance-and-organizations/README.md,top-level-category,canonical category navigation,category navigation with canonical lesson links,canonical-category,valid,none,none,stale Phase 5 status wording corrected,passed,Category exists intentionally and has a README.
04-compute/README.md,top-level-category,canonical category navigation,category navigation with canonical lesson links,canonical-category,valid,none,none,stale Phase 5 status wording corrected,passed,Category exists intentionally and has a README.
05-storage/README.md,top-level-category,canonical category navigation,category navigation with canonical lesson links,canonical-category,valid,none,none,stale Phase 5 status wording corrected,passed,Category exists intentionally and has a README.
06-databases/README.md,top-level-category,canonical category navigation,category navigation with canonical lesson links,canonical-category,valid,none,none,none required,passed,Category exists intentionally and has a README.
07-networking-and-content-delivery/README.md,top-level-category,canonical category navigation,category navigation with canonical lesson links,canonical-category,valid,none,none,stale Phase 5 status wording corrected,passed,Category exists intentionally and has a README.
08-serverless-and-application-integration/README.md,top-level-category,canonical category navigation,category navigation with canonical lesson links,canonical-category,valid,none,none,none required,passed,Category exists intentionally and has a README.
09-security-and-compliance/README.md,top-level-category,canonical category navigation,category navigation with canonical lesson links,canonical-category,valid,none,none,stale Phase 5 status wording corrected,passed,Category exists intentionally and has a README.
10-monitoring-management-and-deployment/README.md,top-level-category,canonical category navigation,category navigation with canonical lesson links,canonical-category,valid,none,none,stale Phase 5 status wording corrected,passed,Category exists intentionally and has a README.
11-migration-and-hybrid-cloud/README.md,top-level-category,canonical category navigation,category navigation with canonical lesson links,canonical-category,valid,none,none,stale Phase 5 status wording corrected,passed,Category exists intentionally and has a README.
12-billing-pricing-and-support/README.md,top-level-category,canonical category navigation,category navigation with canonical lesson links,canonical-category,valid,none,none,stale Phase 5 status wording corrected,passed,Category exists intentionally and has a README.
13-architecture-and-design-patterns/README.md,top-level-category,canonical category navigation,category navigation with canonical lesson links,canonical-category,valid,none,none,stale Phase 5 status wording corrected,passed,Category exists intentionally and has a README.
14-ai-ml-analytics-and-other-services/README.md,top-level-category,canonical category navigation,category navigation with canonical lesson links,canonical-category,valid,none,none,stale Phase 5 status wording corrected,passed,Category exists intentionally and has a README.
15-comparisons-and-decision-guides/README.md,top-level-category,canonical category navigation,category navigation with canonical lesson links,canonical-category,valid,none,none,stale Phase 5 status wording corrected,passed,Category exists intentionally and has a README.
16-exam-preparation/README.md,top-level-category,canonical category navigation,category navigation with canonical lesson links,canonical-category,valid,none,none,none required,passed,Category exists intentionally and has a README.
90-archive/README.md,top-level-category,canonical category navigation,category navigation with canonical lesson links,canonical-category,valid,none,none,none required,passed,Category exists intentionally and has a README.
docs/final-review/,mandated-control-directory,Phase 7 QA evidence,Phase 7 QA evidence,control-documentation,linked from docs index,medium,The required directory name initially triggered the generic forbidden-version marker.,Added a narrow validator exception for the exact mandated directory.,passed after correction,Learning-category filename rules remain unchanged.
