canonical_path,source_paths,source_count,merge_type,content_verified,notes
02-global-infrastructure/aws-local-zones/01-overview.md,02-global-infrastructure/aws-local-zones/01-overview.md;a) Service Explanations/AWS Local Zones.md,2,consolidated,yes,Exact originals remain recoverable at checkpoint 70818e2.
02-global-infrastructure/aws-wavelength/01-overview.md,02-global-infrastructure/aws-wavelength/01-overview.md;a) Service Explanations/AWS Wavelength.md,2,consolidated,yes,Exact originals remain recoverable at checkpoint 70818e2.
03-identity-governance-and-organizations/aws-control-tower/01-overview.md,03-identity-governance-and-organizations/aws-control-tower/01-overview.md;a) Service Explanations/AWS Control Tower.md,2,consolidated,yes,Exact originals remain recoverable at checkpoint 70818e2.
03-identity-governance-and-organizations/aws-directory-service/01-overview.md,03-identity-governance-and-organizations/aws-directory-service/01-overview.md;a) Service Explanations/AWS Directory Service.md,2,consolidated,yes,Exact originals remain recoverable at checkpoint 70818e2.
03-identity-governance-and-organizations/aws-iam-identity-center/01-overview.md,03-identity-governance-and-organizations/aws-iam-identity-center/01-overview.md;a) Service Explanations/AWS IAM Identity Center.md,2,consolidated,yes,Exact originals remain recoverable at checkpoint 70818e2.
03-identity-governance-and-organizations/aws-iam/01-overview.md,03-identity-governance-and-organizations/aws-iam/01-overview.md;a) Service Explanations/AWS IAM (Identity and Access Management).md,2,consolidated,yes,Exact originals remain recoverable at checkpoint 70818e2.
03-identity-governance-and-organizations/aws-iam/02-users.md,03-identity-governance-and-organizations/aws-iam/02-users.md;a) Service Explanations/AWS IAM User .md,2,consolidated,yes,Exact originals remain recoverable at checkpoint 70818e2.
03-identity-governance-and-organizations/aws-iam/03-groups.md,03-identity-governance-and-organizations/aws-iam/03-groups.md;a) Service Explanations/AWS IAM Group .md,2,consolidated,yes,Exact originals remain recoverable at checkpoint 70818e2.
03-identity-governance-and-organizations/aws-iam/04-roles.md,03-identity-governance-and-organizations/aws-iam/04-roles.md;a) Service Explanations/AWS IAM Role .md,2,consolidated,yes,Exact originals remain recoverable at checkpoint 70818e2.
03-identity-governance-and-organizations/aws-iam/05-customer-managed-policies.md,a) Service Explanations/AWS Customer Managed Policies.md;d) Tools & Policies/AWS Customer Managed Policies (Claude version).txt,2,consolidated,yes,Exact originals remain recoverable at checkpoint 70818e2.
03-identity-governance-and-organizations/aws-iam/06-inline-policies.md,03-identity-governance-and-organizations/aws-iam/06-inline-policies.md;d) Tools & Policies/IAM Inline Policy.md,2,consolidated,yes,Exact originals remain recoverable at checkpoint 70818e2.
03-identity-governance-and-organizations/aws-iam/07-read-only-access-policy.md,03-identity-governance-and-organizations/aws-iam/07-read-only-access-policy.md;a) Service Explanations/AWS IAM (ReadOnlyAccess).md,2,consolidated,yes,Exact originals remain recoverable at checkpoint 70818e2.
03-identity-governance-and-organizations/aws-iam/08-administrator-access-policy.md,03-identity-governance-and-organizations/aws-iam/08-administrator-access-policy.md;a) Service Explanations/Administrator Access.md,2,consolidated,yes,Exact originals remain recoverable at checkpoint 70818e2.
03-identity-governance-and-organizations/aws-iam/09-access-analyzer.md,03-identity-governance-and-organizations/aws-iam/09-access-analyzer.md;a) Service Explanations/AWS IAM Access Analyzer .md,2,consolidated,yes,Exact originals remain recoverable at checkpoint 70818e2.
03-identity-governance-and-organizations/aws-iam/10-root-user.md,03-identity-governance-and-organizations/aws-iam/10-root-user.md;a) Service Explanations/AWS Account Root User .md,2,consolidated,yes,Exact originals remain recoverable at checkpoint 70818e2.
03-identity-governance-and-organizations/aws-organizations/01-overview.md,03-identity-governance-and-organizations/aws-organizations/01-overview.md;a) Service Explanations/AWS Organizations .md,2,consolidated,yes,Exact originals remain recoverable at checkpoint 70818e2.
03-identity-governance-and-organizations/aws-organizations/02-service-control-policies.md,03-identity-governance-and-organizations/aws-organizations/02-service-control-policies.md;a) Service Explanations/Service Control Policy (SCP).md,2,consolidated,yes,Exact originals remain recoverable at checkpoint 70818e2.
03-identity-governance-and-organizations/aws-resource-access-manager/01-overview.md,03-identity-governance-and-organizations/aws-resource-access-manager/01-overview.md;a) Service Explanations/AWS Resource Access Manager (AWS RAM).md,2,consolidated,yes,Exact originals remain recoverable at checkpoint 70818e2.
03-identity-governance-and-organizations/aws-service-catalog/01-overview.md,03-identity-governance-and-organizations/aws-service-catalog/01-overview.md;a) Service Explanations/AWS Service Catalog.md,2,consolidated,yes,Exact originals remain recoverable at checkpoint 70818e2.
04-compute/amazon-ec2/01-overview.md,04-compute/amazon-ec2/01-overview.md;a) Service Explanations/Amazon EC2 .md,2,consolidated,yes,Exact originals remain recoverable at checkpoint 70818e2.
04-compute/amazon-ec2/02-study-guide.md,04-compute/amazon-ec2/02-study-guide.md;c) Keywords services/Amazon EC2 Purchasing & Billing Options.md,2,consolidated,yes,Exact originals remain recoverable at checkpoint 70818e2.
04-compute/amazon-ec2/03-reserved-instances.md,04-compute/amazon-ec2/03-reserved-instances.md;d) Tools & Policies/EC2 Pricing Models (Reserved Instances).md,2,consolidated,yes,Exact originals remain recoverable at checkpoint 70818e2.
04-compute/amazon-ec2/04-key-pairs.md,04-compute/amazon-ec2/04-key-pairs.md;a) Service Explanations/Amazon EC2 Key Pairs .md,2,consolidated,yes,Exact originals remain recoverable at checkpoint 70818e2.
04-compute/amazon-ec2/05-instance-connect.md,04-compute/amazon-ec2/05-instance-connect.md;a) Service Explanations/Amazon EC2 Instance Connect .md,2,consolidated,yes,Exact originals remain recoverable at checkpoint 70818e2.
04-compute/amazon-ec2/06-rdp-connections.md,04-compute/amazon-ec2/06-rdp-connections.md;e) AWS Claude Network & Gateways/Remote Desktop Protocol (RDP) Connection.md,2,consolidated,yes,Exact originals remain recoverable at checkpoint 70818e2.
