topic_or_service,expected_canonical_path,additional_paths_found,classification,conflict_found,action_taken,final_owner,validation_result,notes
Cloud Fundamentals,01-cloud-fundamentals/README.md,none identified by duplicate and inventory scans,supplementary,false,none required,not a competing service owner,passed,Historical mentions and comparisons were retained in their proper roles.
AWS Local Zones,02-global-infrastructure/aws-local-zones/01-overview.md,none identified by duplicate and inventory scans,canonical,false,none required,02-global-infrastructure/aws-local-zones/01-overview.md,passed,Historical mentions and comparisons were retained in their proper roles.
AWS Wavelength,02-global-infrastructure/aws-wavelength/01-overview.md,none identified by duplicate and inventory scans,canonical,false,none required,02-global-infrastructure/aws-wavelength/01-overview.md,passed,Historical mentions and comparisons were retained in their proper roles.
Global Infrastructure,02-global-infrastructure/README.md,none identified by duplicate and inventory scans,supplementary,false,none required,not a competing service owner,passed,Historical mentions and comparisons were retained in their proper roles.
AWS Control Tower,03-identity-governance-and-organizations/aws-control-tower/01-overview.md,none identified by duplicate and inventory scans,canonical,false,none required,03-identity-governance-and-organizations/aws-control-tower/01-overview.md,passed,Historical mentions and comparisons were retained in their proper roles.
AWS Directory Service,03-identity-governance-and-organizations/aws-directory-service/01-overview.md,none identified by duplicate and inventory scans,canonical,false,none required,03-identity-governance-and-organizations/aws-directory-service/01-overview.md,passed,Historical mentions and comparisons were retained in their proper roles.
AWS IAM (Identity and Access Management),03-identity-governance-and-organizations/aws-iam/01-overview.md,none identified by duplicate and inventory scans,canonical,false,none required,03-identity-governance-and-organizations/aws-iam/01-overview.md,passed,Historical mentions and comparisons were retained in their proper roles.
IAM User,03-identity-governance-and-organizations/aws-iam/02-users.md,none identified by duplicate and inventory scans,canonical,false,none required,03-identity-governance-and-organizations/aws-iam/02-users.md,passed,Historical mentions and comparisons were retained in their proper roles.
IAM Group,03-identity-governance-and-organizations/aws-iam/03-groups.md,none identified by duplicate and inventory scans,canonical,false,none required,03-identity-governance-and-organizations/aws-iam/03-groups.md,passed,Historical mentions and comparisons were retained in their proper roles.
AWS IAM Role,03-identity-governance-and-organizations/aws-iam/04-roles.md,none identified by duplicate and inventory scans,canonical,false,none required,03-identity-governance-and-organizations/aws-iam/04-roles.md,passed,Historical mentions and comparisons were retained in their proper roles.
AWS customer managed policies,03-identity-governance-and-organizations/aws-iam/05-customer-managed-policies.md,none identified by duplicate and inventory scans,canonical,false,none required,03-identity-governance-and-organizations/aws-iam/05-customer-managed-policies.md,passed,Historical mentions and comparisons were retained in their proper roles.
IAM Inline Policy,03-identity-governance-and-organizations/aws-iam/06-inline-policies.md,none identified by duplicate and inventory scans,canonical,false,none required,03-identity-governance-and-organizations/aws-iam/06-inline-policies.md,passed,Historical mentions and comparisons were retained in their proper roles.
ReadOnlyAccess,03-identity-governance-and-organizations/aws-iam/07-read-only-access-policy.md,none identified by duplicate and inventory scans,canonical,false,none required,03-identity-governance-and-organizations/aws-iam/07-read-only-access-policy.md,passed,Historical mentions and comparisons were retained in their proper roles.
Administrator Access,03-identity-governance-and-organizations/aws-iam/08-administrator-access-policy.md,none identified by duplicate and inventory scans,canonical,false,none required,03-identity-governance-and-organizations/aws-iam/08-administrator-access-policy.md,passed,Historical mentions and comparisons were retained in their proper roles.
AWS IAM Access Analyzer,03-identity-governance-and-organizations/aws-iam/09-access-analyzer.md,none identified by duplicate and inventory scans,canonical,false,none required,03-identity-governance-and-organizations/aws-iam/09-access-analyzer.md,passed,Historical mentions and comparisons were retained in their proper roles.
AWS Account Root User,03-identity-governance-and-organizations/aws-iam/10-root-user.md,none identified by duplicate and inventory scans,canonical,false,none required,03-identity-governance-and-organizations/aws-iam/10-root-user.md,passed,Historical mentions and comparisons were retained in their proper roles.
Aws Iam,03-identity-governance-and-organizations/aws-iam/README.md,none identified by duplicate and inventory scans,supplementary,false,none required,not a competing service owner,passed,Historical mentions and comparisons were retained in their proper roles.
AWS IAM Identity Center,03-identity-governance-and-organizations/aws-iam-identity-center/01-overview.md,none identified by duplicate and inventory scans,canonical,false,none required,03-identity-governance-and-organizations/aws-iam-identity-center/01-overview.md,passed,Historical mentions and comparisons were retained in their proper roles.
AWS Organizations,03-identity-governance-and-organizations/aws-organizations/01-overview.md,none identified by duplicate and inventory scans,canonical,false,none required,03-identity-governance-and-organizations/aws-organizations/01-overview.md,passed,Historical mentions and comparisons were retained in their proper roles.
Service Control Policy (SCP),03-identity-governance-and-organizations/aws-organizations/02-service-control-policies.md,none identified by duplicate and inventory scans,canonical,false,none required,03-identity-governance-and-organizations/aws-organizations/02-service-control-policies.md,passed,Historical mentions and comparisons were retained in their proper roles.
Aws Organizations,03-identity-governance-and-organizations/aws-organizations/README.md,none identified by duplicate and inventory scans,supplementary,false,none required,not a competing service owner,passed,Historical mentions and comparisons were retained in their proper roles.
AWS Resource Access Manager (AWS RAM),03-identity-governance-and-organizations/aws-resource-access-manager/01-overview.md,none identified by duplicate and inventory scans,canonical,false,none required,03-identity-governance-and-organizations/aws-resource-access-manager/01-overview.md,passed,Historical mentions and comparisons were retained in their proper roles.
AWS Service Catalog,03-identity-governance-and-organizations/aws-service-catalog/01-overview.md,none identified by duplicate and inventory scans,canonical,false,none required,03-identity-governance-and-organizations/aws-service-catalog/01-overview.md,passed,Historical mentions and comparisons were retained in their proper roles.
Identity Governance And Organizations,03-identity-governance-and-organizations/README.md,none identified by duplicate and inventory scans,supplementary,false,none required,not a competing service owner,passed,Historical mentions and comparisons were retained in their proper roles.
Amazon EC2 — AWS Cloud Practitioner Study Note,04-compute/amazon-ec2/01-overview.md,none identified by duplicate and inventory scans,canonical,false,none required,04-compute/amazon-ec2/01-overview.md,passed,Historical mentions and comparisons were retained in their proper roles.
🖥️ Amazon EC2 Purchasing & Billing Options,04-compute/amazon-ec2/02-study-guide.md,none identified by duplicate and inventory scans,canonical,false,none required,04-compute/amazon-ec2/02-study-guide.md,passed,Historical mentions and comparisons were retained in their proper roles.
💡 EC2 Reserved Instances (RI) — Standard vs Convertible,04-compute/amazon-ec2/03-reserved-instances.md,none identified by duplicate and inventory scans,canonical,false,none required,04-compute/amazon-ec2/03-reserved-instances.md,passed,Historical mentions and comparisons were retained in their proper roles.
Amazon EC2 Key Pairs,04-compute/amazon-ec2/04-key-pairs.md,none identified by duplicate and inventory scans,canonical,false,none required,04-compute/amazon-ec2/04-key-pairs.md,passed,Historical mentions and comparisons were retained in their proper roles.
Amazon EC2 Instance Connect,04-compute/amazon-ec2/05-instance-connect.md,none identified by duplicate and inventory scans,canonical,false,none required,04-compute/amazon-ec2/05-instance-connect.md,passed,Historical mentions and comparisons were retained in their proper roles.
Remote Desktop Protocol (RDP) Connection,04-compute/amazon-ec2/06-rdp-connections.md,none identified by duplicate and inventory scans,canonical,false,none required,04-compute/amazon-ec2/06-rdp-connections.md,passed,Historical mentions and comparisons were retained in their proper roles.
🖥️ EC2 Placement Groups,04-compute/amazon-ec2/07-placement-groups.md,none identified by duplicate and inventory scans,canonical,false,none required,04-compute/amazon-ec2/07-placement-groups.md,passed,Historical mentions and comparisons were retained in their proper roles.
Amazon Ec2,04-compute/amazon-ec2/README.md,none identified by duplicate and inventory scans,supplementary,false,none required,not a competing service owner,passed,Historical mentions and comparisons were retained in their proper roles.
Amazon Lightsail,04-compute/amazon-lightsail/01-overview.md,none identified by duplicate and inventory scans,canonical,false,none required,04-compute/amazon-lightsail/01-overview.md,passed,Historical mentions and comparisons were retained in their proper roles.
AWS Batch,04-compute/aws-batch/01-overview.md,none identified by duplicate and inventory scans,canonical,false,none required,04-compute/aws-batch/01-overview.md,passed,Historical mentions and comparisons were retained in their proper roles.
AWS Elastic Beanstalk,04-compute/aws-elastic-beanstalk/01-overview.md,none identified by duplicate and inventory scans,canonical,false,none required,04-compute/aws-elastic-beanstalk/01-overview.md,passed,Historical mentions and comparisons were retained in their proper roles.
AWS Fargate,04-compute/aws-fargate/01-overview.md,none identified by duplicate and inventory scans,canonical,false,none required,04-compute/aws-fargate/01-overview.md,passed,Historical mentions and comparisons were retained in their proper roles.
AWS Lambda,04-compute/aws-lambda/01-overview.md,none identified by duplicate and inventory scans,canonical,false,none required,04-compute/aws-lambda/01-overview.md,passed,Historical mentions and comparisons were retained in their proper roles.
AWS Target Tracking Scaling Policy,04-compute/ec2-auto-scaling/01-target-tracking-scaling.md,none identified by duplicate and inventory scans,canonical,false,none required,04-compute/ec2-auto-scaling/01-target-tracking-scaling.md,passed,Historical mentions and comparisons were retained in their proper roles.
Compute,04-compute/README.md,none identified by duplicate and inventory scans,supplementary,false,none required,not a competing service owner,passed,Historical mentions and comparisons were retained in their proper roles.
