concept,cpp_relevance,saa_relevance,official_source_section,canonical_paths,coverage_status,cpp_depth,saa_depth,missing_elements,priority,recommended_action,target_path,notes
Cloud value proposition,core,foundation,Technologies/concepts and task statements,12-billing-pricing-and-support/aws-billing-and-cost-management/02-study-guide.md,mention-only,awareness,intermediate,Correct-depth explanation and scenarios,P2,expand-existing-lesson,12-billing-pricing-and-support/aws-billing-and-cost-management/02-study-guide.md,Paraphrased official concept mapping.
AWS Shared Responsibility Model,core,foundation,Technologies/concepts and task statements,04-compute/aws-batch/01-overview.md; 09-security-and-compliance/aws-artifact/01-overview.md; 04-compute/amazon-ec2/01-overview.md,partial,awareness,architecture-and-design,Correct-depth explanation and scenarios,P2,expand-existing-lesson,04-compute/aws-batch/01-overview.md,Paraphrased official concept mapping.
AWS global infrastructure,core,foundation,Technologies/concepts and task statements,12-billing-pricing-and-support/aws-support/02-support-plans.md; 15-comparisons-and-decision-guides/networking/01-cloudfront-vs-global-accelerator.md; 11-migration-and-hybrid-cloud/aws-outposts/01-overview.md,partial,fundamental,architecture-and-design,Correct-depth explanation and scenarios,P2,expand-existing-lesson,12-billing-pricing-and-support/aws-support/02-support-plans.md,Paraphrased official concept mapping.
AWS Well-Architected Framework,core,architecture,Technologies/concepts and task statements,12-billing-pricing-and-support/aws-support/02-support-plans.md; 12-billing-pricing-and-support/customer-enablement/aws-prescriptive-guidance/01-overview.md; 13-architecture-and-design-patterns/aws-well-architected-framework/01-overview.md,partial,fundamental,architecture-and-design,Correct-depth explanation and scenarios,P2,expand-existing-lesson,12-billing-pricing-and-support/aws-support/02-support-plans.md,Paraphrased official concept mapping.
AWS Cloud Adoption Framework,core,supporting,Technologies/concepts and task statements,12-billing-pricing-and-support/customer-enablement/aws-prescriptive-guidance/01-overview.md; 13-architecture-and-design-patterns/aws-well-architected-framework/01-overview.md; 13-architecture-and-design-patterns/aws-cloud-adoption-framework/01-overview.md,partial,awareness,intermediate,Correct-depth explanation and scenarios,P2,expand-existing-lesson,12-billing-pricing-and-support/customer-enablement/aws-prescriptive-guidance/01-overview.md,Paraphrased official concept mapping.
migration strategies,core,architecture,Technologies/concepts and task statements,11-migration-and-hybrid-cloud/aws-migration-hub/01-overview.md; 12-billing-pricing-and-support/customer-enablement/aws-prescriptive-guidance/01-overview.md,partial,mention-only,awareness,Correct-depth explanation and scenarios,P2,expand-existing-lesson,11-migration-and-hybrid-cloud/aws-migration-hub/01-overview.md,Paraphrased official concept mapping.
high availability,core,architecture,Technologies/concepts and task statements,04-compute/amazon-ec2/07-placement-groups.md; 07-networking-and-content-delivery/networking-guide/01-cloud-practitioner-study-guide.md; 12-billing-pricing-and-support/aws-support/02-support-plans.md,mention-only,fundamental,scenario-ready,Correct-depth explanation and scenarios,P2,expand-existing-lesson,04-compute/amazon-ec2/07-placement-groups.md,Paraphrased official concept mapping.
fault tolerance,supporting,architecture,Technologies/concepts and task statements,04-compute/amazon-ec2/07-placement-groups.md; 12-billing-pricing-and-support/aws-support/02-support-plans.md; 12-billing-pricing-and-support/customer-enablement/aws-recommendation-resources/01-study-guide.md,partial,fundamental,scenario-ready,Correct-depth explanation and scenarios,P2,expand-existing-lesson,04-compute/amazon-ec2/07-placement-groups.md,Paraphrased official concept mapping.
elasticity and scalability,core,architecture,Technologies/concepts and task statements,11-migration-and-hybrid-cloud/aws-outposts/01-overview.md; 04-compute/amazon-ec2/01-overview.md,partial,mention-only,intermediate,Correct-depth explanation and scenarios,P2,expand-existing-lesson,11-migration-and-hybrid-cloud/aws-outposts/01-overview.md,Paraphrased official concept mapping.
disaster recovery,supporting,architecture,Technologies/concepts and task statements,12-billing-pricing-and-support/customer-enablement/aws-recommendation-resources/01-study-guide.md; 04-compute/amazon-ec2/02-study-guide.md; 12-billing-pricing-and-support/aws-billing-and-cost-management/02-study-guide.md,partial,awareness,scenario-ready,Correct-depth explanation and scenarios,P2,expand-existing-lesson,12-billing-pricing-and-support/customer-enablement/aws-recommendation-resources/01-study-guide.md,Paraphrased official concept mapping.
least privilege,core,architecture,Technologies/concepts and task statements,12-billing-pricing-and-support/customer-enablement/aws-recommendation-resources/01-study-guide.md; 15-comparisons-and-decision-guides/identity-and-governance/03-users-groups-and-roles.md; 15-comparisons-and-decision-guides/identity-and-governance/01-root-user-vs-iam.md,partial,awareness,scenario-ready,Correct-depth explanation and scenarios,P2,expand-existing-lesson,12-billing-pricing-and-support/customer-enablement/aws-recommendation-resources/01-study-guide.md,Paraphrased official concept mapping.
federation and cross-account access,supporting,architecture,Technologies/concepts and task statements,09-security-and-compliance/amazon-verified-permissions/01-overview.md; 15-comparisons-and-decision-guides/identity-and-governance/03-users-groups-and-roles.md; 03-identity-governance-and-organizations/aws-iam/04-roles.md,complete,awareness,intermediate,none,P3,expand-existing-lesson,09-security-and-compliance/amazon-verified-permissions/01-overview.md,Paraphrased official concept mapping.
encryption at rest and in transit,core,architecture,Technologies/concepts and task statements,05-storage/amazon-fsx-for-lustre/01-overview.md; 05-storage/amazon-ebs/01-overview.md; 05-storage/amazon-s3/01-overview.md,partial,fundamental,architecture-and-design,Correct-depth explanation and scenarios,P2,expand-existing-lesson,05-storage/amazon-fsx-for-lustre/01-overview.md,Paraphrased official concept mapping.
multi-account governance,supporting,architecture,Technologies/concepts and task statements,03-identity-governance-and-organizations/aws-organizations/02-service-control-policies.md; 09-security-and-compliance/aws-security-hub/01-overview.md; 03-identity-governance-and-organizations/aws-control-tower/01-overview.md,partial,awareness,intermediate,Correct-depth explanation and scenarios,P2,expand-existing-lesson,03-identity-governance-and-organizations/aws-organizations/02-service-control-policies.md,Paraphrased official concept mapping.
infrastructure as code,awareness,architecture,Technologies/concepts and task statements,12-billing-pricing-and-support/customer-enablement/aws-recommendation-resources/01-study-guide.md; 10-monitoring-management-and-deployment/aws-codepipeline/01-overview.md; 05-storage/amazon-fsx-for-lustre/01-overview.md,partial,awareness,scenario-ready,Correct-depth explanation and scenarios,P2,expand-existing-lesson,12-billing-pricing-and-support/customer-enablement/aws-recommendation-resources/01-study-guide.md,Paraphrased official concept mapping.
stateless architecture,awareness,architecture,Technologies/concepts and task statements,07-networking-and-content-delivery/networking-guide/01-cloud-practitioner-study-guide.md; 04-compute/amazon-ec2/02-study-guide.md; 09-security-and-compliance/aws-network-firewall/01-overview.md,partial,awareness,architecture-and-design,Correct-depth explanation and scenarios,P2,expand-existing-lesson,07-networking-and-content-delivery/networking-guide/01-cloud-practitioner-study-guide.md,Paraphrased official concept mapping.
event-driven architecture,awareness,architecture,Technologies/concepts and task statements,12-billing-pricing-and-support/aws-support/02-support-plans.md; 04-compute/aws-lambda/01-overview.md; 07-networking-and-content-delivery/networking-guide/01-cloud-practitioner-study-guide.md,partial,fundamental,architecture-and-design,Correct-depth explanation and scenarios,P2,expand-existing-lesson,12-billing-pricing-and-support/aws-support/02-support-plans.md,Paraphrased official concept mapping.
decoupling,core,architecture,Technologies/concepts and task statements,08-serverless-and-application-integration/amazon-sqs/01-overview.md; 08-serverless-and-application-integration/amazon-ses/01-overview.md,mention-only,awareness,intermediate,Correct-depth explanation and scenarios,P2,expand-existing-lesson,08-serverless-and-application-integration/amazon-sqs/01-overview.md,Paraphrased official concept mapping.
caching,awareness,architecture,Technologies/concepts and task statements,15-comparisons-and-decision-guides/storage/02-storage-gateway-family.md; 08-serverless-and-application-integration/amazon-api-gateway/01-overview.md; 15-comparisons-and-decision-guides/storage/01-file-gateway-vs-volume-gateway.md,mention-only,awareness,intermediate,Correct-depth explanation and scenarios,P2,expand-existing-lesson,15-comparisons-and-decision-guides/storage/02-storage-gateway-family.md,Paraphrased official concept mapping.
load balancing,core,architecture,Technologies/concepts and task statements,04-compute/amazon-ec2/07-placement-groups.md; 13-architecture-and-design-patterns/transport-layer-security/01-ssl-termination.md; 04-compute/ec2-auto-scaling/01-target-tracking-scaling.md,partial,fundamental,scenario-ready,Correct-depth explanation and scenarios,P2,expand-existing-lesson,04-compute/amazon-ec2/07-placement-groups.md,Paraphrased official concept mapping.
