original_path,current_path,migration_status,size_before,size_after,sha256_before,sha256_after,content_changed,link_repairs,notes
a) Service Explanations/Administrator Access.md,03-identity-governance-and-organizations/aws-iam/08-administrator-access-policy.md,migrated,6479,6479,d1f55d96d503b9538cab6d29ef50431fd0e5e1156768efbb32df6feb38719e1b,d1f55d96d503b9538cab6d29ef50431fd0e5e1156768efbb32df6feb38719e1b,no,0,git mv
a) Service Explanations/Amazon Alexa .md,a) Service Explanations/Amazon Alexa .md,skipped-manual-review,4774,4774,fe478beb118c83996c7027bfa775df395235db8758ea756b5431dfc7bb845fb3,fe478beb118c83996c7027bfa775df395235db8758ea756b5431dfc7bb845fb3,no,0,Action 'manual-review' is outside Phase 3 execution scope.
a) Service Explanations/Amazon API Gateway.md,08-serverless-and-application-integration/amazon-api-gateway/01-overview.md,migrated,12297,12297,1283907611dd58df255e02b63b0def79316a3921f84388f84e77394edbb0881b,1283907611dd58df255e02b63b0def79316a3921f84388f84e77394edbb0881b,no,0,git mv
a) Service Explanations/Amazon Athena.md,14-ai-ml-analytics-and-other-services/amazon-athena/01-overview.md,migrated,5572,5572,db26ebd5e2abf59e2dab0351bccc58686a646c8823726b8491b8a6880e36a48a,db26ebd5e2abf59e2dab0351bccc58686a646c8823726b8491b8a6880e36a48a,no,0,git mv
a) Service Explanations/Amazon Aurora.md,06-databases/amazon-aurora/01-overview.md,migrated,7574,7574,10ac0dec297aa2ed296683e4ef78f4eed4b905ecf72cc77fcf9a1a8e496c8d43,10ac0dec297aa2ed296683e4ef78f4eed4b905ecf72cc77fcf9a1a8e496c8d43,no,0,git mv
a) Service Explanations/Amazon Chime Video Meetings.md,a) Service Explanations/Amazon Chime Video Meetings.md,skipped-manual-review,4561,4561,98b0926405c41293ab24e116b11d5e51c93b7f61c72bcd8a325101f66f2a03b6,98b0926405c41293ab24e116b11d5e51c93b7f61c72bcd8a325101f66f2a03b6,no,0,Action 'manual-review' is outside Phase 3 execution scope.
a) Service Explanations/Amazon CloudFront.md,07-networking-and-content-delivery/amazon-cloudfront/01-overview.md,migrated,5277,5277,c9584387fd2fb4816ba9a6a065be492a76fd1f394e5130a9b7d563a540bef9aa,c9584387fd2fb4816ba9a6a065be492a76fd1f394e5130a9b7d563a540bef9aa,no,0,git mv
a) Service Explanations/Amazon CodeGuru .md,10-monitoring-management-and-deployment/amazon-codeguru/01-overview.md,migrated,6847,6847,2ef04f65d879025467f4c8ee6127594e72699291e4f192cc1db5edd6f972810f,2ef04f65d879025467f4c8ee6127594e72699291e4f192cc1db5edd6f972810f,no,0,git mv
a) Service Explanations/Amazon Cognito .md,09-security-and-compliance/amazon-cognito/01-overview.md,migrated,6353,6353,2f8322057ac6af46c0321ba4d21ad1e0014df6e3c1133d6997f8b6b3eb1bcf08,2f8322057ac6af46c0321ba4d21ad1e0014df6e3c1133d6997f8b6b3eb1bcf08,no,0,git mv
a) Service Explanations/Amazon Comprehend .md,a) Service Explanations/Amazon Comprehend .md,skipped-collision,5362,5362,520f0411c57b09a646a0676e2187a3a9ef1a2178a6aa11bec9bdca606593b907,520f0411c57b09a646a0676e2187a3a9ef1a2178a6aa11bec9bdca606593b907,no,0,Multiple move-map sources resolve to the same destination; entire collision group is deferred.
a) Service Explanations/Amazon Comprehend.md,a) Service Explanations/Amazon Comprehend.md,skipped-collision,6132,6132,de1423014d3477c14c391ba566daad06d28ed92271d974cc57ab5a865c94a17d,de1423014d3477c14c391ba566daad06d28ed92271d974cc57ab5a865c94a17d,no,0,Multiple move-map sources resolve to the same destination; entire collision group is deferred.
a) Service Explanations/Amazon Connect .md,14-ai-ml-analytics-and-other-services/amazon-connect/01-overview.md,migrated,4905,4905,1b647ab07a98a4b6571fef687b6d7fbd6574ca8d60240084b861af2b2c8fd21f,1b647ab07a98a4b6571fef687b6d7fbd6574ca8d60240084b861af2b2c8fd21f,no,0,git mv
a) Service Explanations/Amazon EBS Volume.md,a) Service Explanations/Amazon EBS Volume.md,skipped-collision,4810,4810,04046400aaac497f0bec51683561a358bef07bbbd5185025df2900956d23d40a,04046400aaac497f0bec51683561a358bef07bbbd5185025df2900956d23d40a,no,0,Multiple move-map sources resolve to the same destination; entire collision group is deferred.
a) Service Explanations/Amazon EC2 .md,04-compute/amazon-ec2/01-overview.md,migrated,7369,7369,cda8613d01a3b84a7be0fa8d12af6e8095f1c798ccc3b80d6c07ca6a494853ef,cda8613d01a3b84a7be0fa8d12af6e8095f1c798ccc3b80d6c07ca6a494853ef,no,0,git mv
a) Service Explanations/Amazon EC2 Instance Connect .md,04-compute/amazon-ec2/05-instance-connect.md,migrated,5431,5431,132b6feea72caad5a06107e44e859397961f801c3527fb0ce722946de3c14f2f,132b6feea72caad5a06107e44e859397961f801c3527fb0ce722946de3c14f2f,no,0,git mv
