backlog_id,priority,batch,topic,target_path,authoritative_acceptance_criteria,final_status,evidence,validation_result,remaining_work,blocks_phase_6_completion,notes
AWS-001,P0,Batch 1,Shared Responsibility Model,01-cloud-fundamentals/01-shared-responsibility-model.md,Target provides overview; service-model responsibility shifts; ec2/rds/lambda scenarios; cites current official AWS sources; matches fundamental CPP and architecture-and-design SAA depth where applicable; filename and links validate.,completed,01-cloud-fundamentals/01-shared-responsibility-model.md; PHASE-6-BATCH-1-POST-IMPLEMENTATION.csv,Batch acceptance evidence reconciled; final repository validation suite passed on 2026-07-25.,none for this acceptance criterion,false,Completed against the Batch 1 acceptance criterion.
AWS-002,P0,Batch 1,Cloud benefits,01-cloud-fundamentals/02-cloud-concepts-and-benefits.md,Target provides benefits; economics; agility; elasticity; global reach; scenarios; cites current official AWS sources; matches fundamental CPP and awareness SAA depth where applicable; filename and links validate.,completed,01-cloud-fundamentals/02-cloud-concepts-and-benefits.md; PHASE-6-BATCH-1-POST-IMPLEMENTATION.csv,Batch acceptance evidence reconciled; final repository validation suite passed on 2026-07-25.,none for this acceptance criterion,false,Completed against the Batch 1 acceptance criterion.
AWS-003,P0,Batch 1,Global infrastructure fundamentals,02-global-infrastructure/01-regions-availability-zones-and-edge.md,Target provides regions; azs; edge; service scope; ha; selection trade-offs; cites current official AWS sources; matches fundamental CPP and architecture-and-design SAA depth where applicable; filename and links validate.,completed,02-global-infrastructure/01-regions-availability-zones-and-edge.md; PHASE-6-BATCH-1-POST-IMPLEMENTATION.csv,Batch acceptance evidence reconciled; final repository validation suite passed on 2026-07-25.,none for this acceptance criterion,false,Completed against the Batch 1 acceptance criterion.
AWS-004,P0,Batch 1,IAM,03-identity-governance-and-organizations/aws-iam/01-overview.md,Target provides root; mfa; users/groups/roles; policies; federation; cross-account; least privilege; cites current official AWS sources; matches fundamental CPP and architecture-and-design SAA depth where applicable; filename and links validate.,completed,03-identity-governance-and-organizations/aws-iam/01-overview.md; PHASE-6-BATCH-1-POST-IMPLEMENTATION.csv,Batch acceptance evidence reconciled; final repository validation suite passed on 2026-07-25.,none for this acceptance criterion,false,Completed against the Batch 1 acceptance criterion.
AWS-005,P0,Batch 1,Well-Architected foundations,13-architecture-and-design-patterns/aws-well-architected-framework/01-overview.md,Target provides six pillars; trade-offs; review process; scenarios; cites current official AWS sources; matches fundamental CPP and architecture-and-design SAA depth where applicable; filename and links validate.,completed,13-architecture-and-design-patterns/aws-well-architected-framework/01-overview.md; PHASE-6-BATCH-1-POST-IMPLEMENTATION.csv,Batch acceptance evidence reconciled; final repository validation suite passed on 2026-07-25.,none for this acceptance criterion,false,Completed against the Batch 1 acceptance criterion.
AWS-006,P1,Batch 1,Critical terminology corrections,manual-review,Target provides apply terminology audit findings only after source verification; cites current official AWS sources; matches awareness CPP and architecture-and-design SAA depth where applicable; filename and links validate.,completed,manual-review; PHASE-6-BATCH-1-POST-IMPLEMENTATION.csv,Batch acceptance evidence reconciled; final repository validation suite passed on 2026-07-25.,none for this acceptance criterion,false,Completed against the Batch 1 acceptance criterion.
AWS-007,P0,Batch 2,Amazon EC2,04-compute/amazon-ec2/01-overview.md,Target provides families; sizing; lifecycle; storage/network; ha; security; cost; selection; cites current official AWS sources; matches fundamental CPP and scenario-ready SAA depth where applicable; filename and links validate.,completed,canonical target; SAA Design Supplement; Official References; PHASE-6-BATCH-2-RECONCILIATION.csv; commit 6f9540d,Batch acceptance evidence reconciled; final repository validation suite passed on 2026-07-25.,none for this acceptance criterion,false,Implemented before recovery and reconciled from repository evidence.
AWS-008,P1,Batch 2,Elastic Load Balancing,04-compute/elastic-load-balancing/01-overview.md,Target provides alb/nlb/gwlb; health; cross-zone; tls; ha; cost; cites current official AWS sources; matches awareness CPP and scenario-ready SAA depth where applicable; filename and links validate.,completed,canonical target; Types and Selection; Practice Questions; PHASE-6-BATCH-2-RECONCILIATION.csv; commit 6f9540d,Batch acceptance evidence reconciled; final repository validation suite passed on 2026-07-25.,none for this acceptance criterion,false,Implemented before recovery and reconciled from repository evidence.
AWS-009,P1,Batch 2,EC2 Auto Scaling,04-compute/ec2-auto-scaling/01-target-tracking-scaling.md,Target provides target tracking; step; scheduled; health; capacity; trade-offs; cites current official AWS sources; matches fundamental CPP and scenario-ready SAA depth where applicable; filename and links validate.,completed,canonical target; Auto Scaling Group Design Supplement; PHASE-6-BATCH-2-RECONCILIATION.csv; commit 6f9540d,Batch acceptance evidence reconciled; final repository validation suite passed on 2026-07-25.,none for this acceptance criterion,false,Implemented before recovery and reconciled from repository evidence.
AWS-010,P1,Batch 2,AWS Lambda,04-compute/aws-lambda/01-overview.md,Target provides invocation; scaling; limits concept; integrations; security; failure; cost; cites current official AWS sources; matches fundamental CPP and scenario-ready SAA depth where applicable; filename and links validate.,completed,canonical target; Invocation and Architecture Supplement; PHASE-6-BATCH-2-RECONCILIATION.csv; commit 6f9540d,Batch acceptance evidence reconciled; final repository validation suite passed on 2026-07-25.,none for this acceptance criterion,false,Implemented before recovery and reconciled from repository evidence.
AWS-011,P1,Batch 2,Containers,04-compute/containers/01-ecs-eks-and-fargate.md,Target provides ecs/eks/fargate; ec2 launch; selection; scaling; operations; cost; cites current official AWS sources; matches awareness CPP and architecture-and-design SAA depth where applicable; filename and links validate.,completed,canonical target; Core Services; SAA Architecture and Design; PHASE-6-BATCH-2-RECONCILIATION.csv; commit 6f9540d,Batch acceptance evidence reconciled; final repository validation suite passed on 2026-07-25.,none for this acceptance criterion,false,Implemented before recovery and reconciled from repository evidence.
AWS-012,P0,Batch 2,Amazon S3,05-storage/amazon-s3/01-overview.md,Target provides durability; availability; security; versioning; replication; events; performance; cost; cites current official AWS sources; matches fundamental CPP and scenario-ready SAA depth where applicable; filename and links validate.,completed,canonical target; SAA Security and Resilience Supplement; PHASE-6-BATCH-2-RECONCILIATION.csv; commit 6f9540d,Batch acceptance evidence reconciled; final repository validation suite passed on 2026-07-25.,none for this acceptance criterion,false,Implemented before recovery and reconciled from repository evidence.
AWS-013,P1,Batch 2,Amazon EBS,05-storage/amazon-ebs/01-overview.md,Target provides volume types; iops/throughput; snapshots; encryption; az scope; cost; cites current official AWS sources; matches fundamental CPP and architecture-and-design SAA depth where applicable; filename and links validate.,completed,canonical target; SAA Performance and Recovery Supplement; PHASE-6-BATCH-2-RECONCILIATION.csv; commit 6f9540d,Batch acceptance evidence reconciled; final repository validation suite passed on 2026-07-25.,none for this acceptance criterion,false,Implemented before recovery and reconciled from repository evidence.
AWS-014,P2,Batch 2,EC2 instance store,05-storage/ec2-instance-store/01-overview.md,Target provides ephemeral behavior; performance; failure; suitable data; ebs comparison; cites current official AWS sources; matches fundamental CPP and architecture-and-design SAA depth where applicable; filename and links validate.,completed,canonical target; Failure and Design Supplement; PHASE-6-BATCH-2-RECONCILIATION.csv; commit 6f9540d,Batch acceptance evidence reconciled; final repository validation suite passed on 2026-07-25.,none for this acceptance criterion,false,Implemented before recovery and reconciled from repository evidence.
AWS-015,P1,Batch 2,Amazon EFS,05-storage/amazon-efs/01-overview.md,Target provides regional design; mount targets; performance; lifecycle; security; cost; cites current official AWS sources; matches fundamental CPP and architecture-and-design SAA depth where applicable; filename and links validate.,completed,canonical target; SAA File-System Design Supplement; PHASE-6-BATCH-2-RECONCILIATION.csv; commit 6f9540d,Batch acceptance evidence reconciled; final repository validation suite passed on 2026-07-25.,none for this acceptance criterion,false,Implemented before recovery and reconciled from repository evidence.
AWS-016,P2,Batch 2,Amazon FSx,05-storage/amazon-fsx/01-family-and-selection.md,Target provides fsx families; protocols; performance; ha; integration; selection; cites current official AWS sources; matches awareness CPP and architecture-and-design SAA depth where applicable; filename and links validate.,completed,canonical target; Family Selection; SAA Architecture and Design; PHASE-6-BATCH-2-RECONCILIATION.csv; commit 6f9540d,Batch acceptance evidence reconciled; final repository validation suite passed on 2026-07-25.,none for this acceptance criterion,false,Implemented before recovery and reconciled from repository evidence.
