backlog_id,priority,batch,original_status,current_status,implementation_phase,target_path,evidence,remaining_work,notes
AWS-001,P0,Batch 1,not-started,completed,Phase 6 Batch 1,01-cloud-fundamentals/01-shared-responsibility-model.md,01-cloud-fundamentals/01-shared-responsibility-model.md; PHASE-6-BATCH-1-POST-IMPLEMENTATION.csv,none for this acceptance criterion,Completed against the Batch 1 acceptance criterion.
AWS-002,P0,Batch 1,not-started,completed,Phase 6 Batch 1,01-cloud-fundamentals/02-cloud-concepts-and-benefits.md,01-cloud-fundamentals/02-cloud-concepts-and-benefits.md; PHASE-6-BATCH-1-POST-IMPLEMENTATION.csv,none for this acceptance criterion,Completed against the Batch 1 acceptance criterion.
AWS-003,P0,Batch 1,not-started,completed,Phase 6 Batch 1,02-global-infrastructure/01-regions-availability-zones-and-edge.md,02-global-infrastructure/01-regions-availability-zones-and-edge.md; PHASE-6-BATCH-1-POST-IMPLEMENTATION.csv,none for this acceptance criterion,Completed against the Batch 1 acceptance criterion.
AWS-004,P0,Batch 1,not-started,completed,Phase 6 Batch 1,03-identity-governance-and-organizations/aws-iam/01-overview.md,03-identity-governance-and-organizations/aws-iam/01-overview.md; PHASE-6-BATCH-1-POST-IMPLEMENTATION.csv,none for this acceptance criterion,Completed against the Batch 1 acceptance criterion.
AWS-005,P0,Batch 1,not-started,completed,Phase 6 Batch 1,13-architecture-and-design-patterns/aws-well-architected-framework/01-overview.md,13-architecture-and-design-patterns/aws-well-architected-framework/01-overview.md; PHASE-6-BATCH-1-POST-IMPLEMENTATION.csv,none for this acceptance criterion,Completed against the Batch 1 acceptance criterion.
AWS-006,P1,Batch 1,not-started,completed,Phase 6 Batch 1,manual-review,manual-review; PHASE-6-BATCH-1-POST-IMPLEMENTATION.csv,none for this acceptance criterion,Completed against the Batch 1 acceptance criterion.
AWS-007,P0,Batch 2,not-started,completed,Phase 6 Batch 2,04-compute/amazon-ec2/01-overview.md,"canonical target; SAA Design Supplement; Official References; PHASE-6-BATCH-2-RECONCILIATION.csv; commit 6f9540d",none for this acceptance criterion,Implemented before recovery and reconciled from repository evidence.
AWS-008,P1,Batch 2,not-started,completed,Phase 6 Batch 2,04-compute/elastic-load-balancing/01-overview.md,"canonical target; Types and Selection; Practice Questions; PHASE-6-BATCH-2-RECONCILIATION.csv; commit 6f9540d",none for this acceptance criterion,Implemented before recovery and reconciled from repository evidence.
AWS-009,P1,Batch 2,not-started,completed,Phase 6 Batch 2,04-compute/ec2-auto-scaling/01-target-tracking-scaling.md,"canonical target; Auto Scaling Group Design Supplement; PHASE-6-BATCH-2-RECONCILIATION.csv; commit 6f9540d",none for this acceptance criterion,Implemented before recovery and reconciled from repository evidence.
AWS-010,P1,Batch 2,not-started,completed,Phase 6 Batch 2,04-compute/aws-lambda/01-overview.md,"canonical target; Invocation and Architecture Supplement; PHASE-6-BATCH-2-RECONCILIATION.csv; commit 6f9540d",none for this acceptance criterion,Implemented before recovery and reconciled from repository evidence.
AWS-011,P1,Batch 2,not-started,completed,Phase 6 Batch 2,04-compute/containers/01-ecs-eks-and-fargate.md,"canonical target; Core Services; SAA Architecture and Design; PHASE-6-BATCH-2-RECONCILIATION.csv; commit 6f9540d",none for this acceptance criterion,Implemented before recovery and reconciled from repository evidence.
AWS-012,P0,Batch 2,not-started,completed,Phase 6 Batch 2,05-storage/amazon-s3/01-overview.md,"canonical target; SAA Security and Resilience Supplement; PHASE-6-BATCH-2-RECONCILIATION.csv; commit 6f9540d",none for this acceptance criterion,Implemented before recovery and reconciled from repository evidence.
AWS-013,P1,Batch 2,not-started,completed,Phase 6 Batch 2,05-storage/amazon-ebs/01-overview.md,"canonical target; SAA Performance and Recovery Supplement; PHASE-6-BATCH-2-RECONCILIATION.csv; commit 6f9540d",none for this acceptance criterion,Implemented before recovery and reconciled from repository evidence.
AWS-014,P2,Batch 2,not-started,completed,Phase 6 Batch 2,05-storage/ec2-instance-store/01-overview.md,"canonical target; Failure and Design Supplement; PHASE-6-BATCH-2-RECONCILIATION.csv; commit 6f9540d",none for this acceptance criterion,Implemented before recovery and reconciled from repository evidence.
AWS-015,P1,Batch 2,not-started,completed,Phase 6 Batch 2,05-storage/amazon-efs/01-overview.md,"canonical target; SAA File-System Design Supplement; PHASE-6-BATCH-2-RECONCILIATION.csv; commit 6f9540d",none for this acceptance criterion,Implemented before recovery and reconciled from repository evidence.
AWS-016,P2,Batch 2,not-started,completed,Phase 6 Batch 2,05-storage/amazon-fsx/01-family-and-selection.md,"canonical target; Family Selection; SAA Architecture and Design; PHASE-6-BATCH-2-RECONCILIATION.csv; commit 6f9540d",none for this acceptance criterion,Implemented before recovery and reconciled from repository evidence.
