current_path,proposed_path,action,git_state,size_bytes,sha256,duplicate_group,confidence,migration_decision,decision_reason
a) Service Explanations/Administrator Access.md,03-identity-governance-and-organizations/aws-iam/08-administrator-access-policy.md,rename-and-move,tracked,6479,d1f55d96d503b9538cab6d29ef50431fd0e5e1156768efbb32df6feb38719e1b,,high,migrate,High-confidence unique approved move with no destination collision.
a) Service Explanations/Amazon Alexa .md,14-ai-ml-analytics-and-other-services/amazon-alexa/01-overview.md,manual-review,tracked,4774,fe478beb118c83996c7027bfa775df395235db8758ea756b5431dfc7bb845fb3,,medium,skip,Action 'manual-review' is outside Phase 3 execution scope.
a) Service Explanations/Amazon API Gateway.md,08-serverless-and-application-integration/amazon-api-gateway/01-overview.md,rename-and-move,tracked,12297,1283907611dd58df255e02b63b0def79316a3921f84388f84e77394edbb0881b,,high,migrate,High-confidence unique approved move with no destination collision.
a) Service Explanations/Amazon Athena.md,14-ai-ml-analytics-and-other-services/amazon-athena/01-overview.md,rename-and-move,tracked,5572,db26ebd5e2abf59e2dab0351bccc58686a646c8823726b8491b8a6880e36a48a,,high,migrate,High-confidence unique approved move with no destination collision.
a) Service Explanations/Amazon Aurora.md,06-databases/amazon-aurora/01-overview.md,rename-and-move,tracked,7574,10ac0dec297aa2ed296683e4ef78f4eed4b905ecf72cc77fcf9a1a8e496c8d43,,high,migrate,High-confidence unique approved move with no destination collision.
a) Service Explanations/Amazon Chime Video Meetings.md,14-ai-ml-analytics-and-other-services/amazon-chime/01-overview.md,manual-review,tracked,4561,98b0926405c41293ab24e116b11d5e51c93b7f61c72bcd8a325101f66f2a03b6,,medium,skip,Action 'manual-review' is outside Phase 3 execution scope.
a) Service Explanations/Amazon CloudFront.md,07-networking-and-content-delivery/amazon-cloudfront/01-overview.md,rename-and-move,tracked,5277,c9584387fd2fb4816ba9a6a065be492a76fd1f394e5130a9b7d563a540bef9aa,,high,migrate,High-confidence unique approved move with no destination collision.
a) Service Explanations/Amazon CodeGuru .md,10-monitoring-management-and-deployment/amazon-codeguru/01-overview.md,rename-and-move,tracked,6847,2ef04f65d879025467f4c8ee6127594e72699291e4f192cc1db5edd6f972810f,,high,migrate,High-confidence unique approved move with no destination collision.
a) Service Explanations/Amazon Cognito .md,09-security-and-compliance/amazon-cognito/01-overview.md,rename-and-move,tracked,6353,2f8322057ac6af46c0321ba4d21ad1e0014df6e3c1133d6997f8b6b3eb1bcf08,,high,migrate,High-confidence unique approved move with no destination collision.
a) Service Explanations/Amazon Comprehend .md,14-ai-ml-analytics-and-other-services/amazon-comprehend/01-overview.md,merge-later,tracked,5362,520f0411c57b09a646a0676e2187a3a9ef1a2178a6aa11bec9bdca606593b907,DG-13-comprehend,high,skip,Multiple move-map sources resolve to the same destination; entire collision group is deferred.
a) Service Explanations/Amazon Comprehend.md,14-ai-ml-analytics-and-other-services/amazon-comprehend/01-overview.md,rename-and-move,tracked,6132,de1423014d3477c14c391ba566daad06d28ed92271d974cc57ab5a865c94a17d,DG-13-comprehend,high,skip,Multiple move-map sources resolve to the same destination; entire collision group is deferred.
a) Service Explanations/Amazon Connect .md,14-ai-ml-analytics-and-other-services/amazon-connect/01-overview.md,rename-and-move,tracked,4905,1b647ab07a98a4b6571fef687b6d7fbd6574ca8d60240084b861af2b2c8fd21f,,high,migrate,High-confidence unique approved move with no destination collision.
a) Service Explanations/Amazon EBS Volume.md,05-storage/amazon-ebs/01-overview.md,merge-later,tracked,4810,04046400aaac497f0bec51683561a358bef07bbbd5185025df2900956d23d40a,DG-16-ebs,high,skip,Multiple move-map sources resolve to the same destination; entire collision group is deferred.
a) Service Explanations/Amazon EC2 .md,04-compute/amazon-ec2/01-overview.md,rename-and-move,tracked,7369,cda8613d01a3b84a7be0fa8d12af6e8095f1c798ccc3b80d6c07ca6a494853ef,,high,migrate,High-confidence unique approved move with no destination collision.
a) Service Explanations/Amazon EC2 Instance Connect .md,04-compute/amazon-ec2/05-instance-connect.md,rename-and-move,tracked,5431,132b6feea72caad5a06107e44e859397961f801c3527fb0ce722946de3c14f2f,,high,migrate,High-confidence unique approved move with no destination collision.
a) Service Explanations/Amazon EC2 Instance Store.md,04-compute/amazon-ec2/03-instance-store.md,rename-and-move,tracked,7662,43e4b8710739640ac0a2b09119b657774906078d13b33fb00b8ea58206a4e25f,,high,migrate,High-confidence unique approved move with no destination collision.
a) Service Explanations/Amazon EC2 Key Pairs .md,04-compute/amazon-ec2/04-key-pairs.md,rename-and-move,tracked,8271,5061a02489e9a6ca986f644683c3ff3b1e17288fd90e46696eb6ecda8e523b58,,high,migrate,High-confidence unique approved move with no destination collision.
a) Service Explanations/Amazon EFS .md,05-storage/amazon-efs/01-overview.md,merge-later,tracked,4922,9c00480ee7834ce126d2c9a4e60c7e34fb84d2ee10749d86c2bcbcb4bd61af78,DG-15-efs,high,skip,Multiple move-map sources resolve to the same destination; entire collision group is deferred.
a) Service Explanations/Amazon Elastic Block Store.md,05-storage/amazon-ebs/01-overview.md,rename-and-move,tracked,10088,c8fe35ad7b225a75536b0ef157aa3ad28cd66c694b8a4530b807de412d152722,DG-16-ebs,high,skip,Multiple move-map sources resolve to the same destination; entire collision group is deferred.
a) Service Explanations/Amazon Elastic File System.md,05-storage/amazon-efs/01-overview.md,rename-and-move,tracked,5749,555ebd993e72801c419f2f846cffa51c5e3220a1764bb6971ebb83637cf7890e,DG-15-efs,high,skip,Multiple move-map sources resolve to the same destination; entire collision group is deferred.
a) Service Explanations/Amazon Elastic Transcoder .md,14-ai-ml-analytics-and-other-services/amazon-elastic-transcoder/01-overview.md,archive-later,tracked,5641,d7081061112daced6a541be5e95b79c09e0842c01e13eda7f3d9af15d0d78ce6,,high,skip,Action 'archive-later' is outside Phase 3 execution scope.
