current_path,proposed_path,action,certification,content_type,duplicate_group,confidence,notes
"a) Service Explanations/Administrator Access.md","03-identity-governance-and-organizations/aws-iam/08-administrator-access-policy.md","rename-and-move",CPP,policy,,high,"topic=Identity, governance, and organizations; service_or_concept=aws-iam; quality=canonical candidate; related=a) Service Explanations/AWS Account Root User .md; a) Service Explanations/AWS IAM (Identity and Access Management).md; a) Service Explanations/AWS IAM (ReadOnlyAccess).md; a) Service Explanations/AWS IAM Access Analyzer .md; a) Service Explanations/AWS IAM Group .md"
"a) Service Explanations/Amazon Alexa .md","14-ai-ml-analytics-and-other-services/amazon-alexa/01-overview.md","manual-review",CPP,"service explanation",,medium,"topic=AI, ML, analytics, and other services; service_or_concept=amazon-alexa; quality=requires manual review; no close overlap identified"
"a) Service Explanations/Amazon API Gateway.md","08-serverless-and-application-integration/amazon-api-gateway/01-overview.md","rename-and-move",both,"service explanation",,high,"topic=Serverless and application integration; service_or_concept=amazon-api-gateway; quality=canonical candidate; no close overlap identified"
"a) Service Explanations/Amazon Athena.md","14-ai-ml-analytics-and-other-services/amazon-athena/01-overview.md","rename-and-move",CPP,"service explanation",,high,"topic=AI, ML, analytics, and other services; service_or_concept=amazon-athena; quality=canonical candidate; no close overlap identified"
"a) Service Explanations/Amazon Aurora.md","06-databases/amazon-aurora/01-overview.md","rename-and-move",both,"service explanation",,high,"topic=Databases; service_or_concept=amazon-aurora; quality=canonical candidate; related=a) Service Explanations/Aurora Provisioned.md; a) Service Explanations/Aurora Serverless.md"
"a) Service Explanations/Amazon Chime Video Meetings.md","14-ai-ml-analytics-and-other-services/amazon-chime/01-overview.md","manual-review",CPP,"service explanation",,medium,"topic=AI, ML, analytics, and other services; service_or_concept=amazon-chime; quality=requires manual review; no close overlap identified"
"a) Service Explanations/Amazon CloudFront.md","07-networking-and-content-delivery/amazon-cloudfront/01-overview.md","rename-and-move",both,"service explanation",,high,"topic=Networking and content delivery; service_or_concept=amazon-cloudfront; quality=canonical candidate; no close overlap identified"
"a) Service Explanations/Amazon CodeGuru .md","10-monitoring-management-and-deployment/amazon-codeguru/01-overview.md","rename-and-move",CPP,"service explanation",,high,"topic=Monitoring, management, and deployment; service_or_concept=amazon-codeguru; quality=canonical candidate; no close overlap identified"
"a) Service Explanations/Amazon Cognito .md","09-security-and-compliance/amazon-cognito/01-overview.md","rename-and-move",CPP,"service explanation",,high,"topic=Security and compliance; service_or_concept=amazon-cognito; quality=canonical candidate; no close overlap identified"
"a) Service Explanations/Amazon Comprehend .md","14-ai-ml-analytics-and-other-services/amazon-comprehend/01-overview.md","merge-later",CPP,"service explanation","DG-13-comprehend",high,"topic=AI, ML, analytics, and other services; service_or_concept=amazon-comprehend; quality=duplicate candidate; related=a) Service Explanations/Amazon Comprehend.md"
"a) Service Explanations/Amazon Comprehend.md","14-ai-ml-analytics-and-other-services/amazon-comprehend/01-overview.md","rename-and-move",CPP,"service explanation","DG-13-comprehend",high,"topic=AI, ML, analytics, and other services; service_or_concept=amazon-comprehend; quality=canonical candidate; related=a) Service Explanations/Amazon Comprehend .md"
"a) Service Explanations/Amazon Connect .md","14-ai-ml-analytics-and-other-services/amazon-connect/01-overview.md","rename-and-move",CPP,"service explanation",,high,"topic=AI, ML, analytics, and other services; service_or_concept=amazon-connect; quality=canonical candidate; related=e) AWS Claude Network & Gateways/Remote Desktop Protocol (RDP) Connection.md"
"a) Service Explanations/Amazon EBS Volume.md","05-storage/amazon-ebs/01-overview.md","merge-later",both,"service explanation",DG-16-ebs,high,"topic=Storage; service_or_concept=amazon-ebs; quality=duplicate candidate; related=a) Service Explanations/Amazon Elastic Block Store.md"
"a) Service Explanations/Amazon EC2 .md","04-compute/amazon-ec2/01-overview.md","rename-and-move",both,"service explanation",,high,"topic=Compute; service_or_concept=amazon-ec2; quality=canonical candidate; related=a) Service Explanations/Amazon EC2 Instance Connect .md; a) Service Explanations/Amazon EC2 Instance Store.md; a) Service Explanations/Amazon EC2 Key Pairs .md; c) Keywords services/Amazon EC2 Purchasing & Billing Options.md; d) Tools & Policies/EC2 Pricing Models (Reserved Instances).md"
"a) Service Explanations/Amazon EC2 Instance Connect .md","04-compute/amazon-ec2/05-instance-connect.md","rename-and-move",both,"feature explanation",,high,"topic=Compute; service_or_concept=amazon-ec2; quality=useful supplementary content; related=a) Service Explanations/Amazon EC2 .md; a) Service Explanations/Amazon EC2 Instance Store.md; a) Service Explanations/Amazon EC2 Key Pairs .md; c) Keywords services/Amazon EC2 Purchasing & Billing Options.md; d) Tools & Policies/EC2 Pricing Models (Reserved Instances).md"
"a) Service Explanations/Amazon EC2 Instance Store.md","04-compute/amazon-ec2/03-instance-store.md","rename-and-move",both,"feature explanation",,high,"topic=Compute; service_or_concept=amazon-ec2; quality=useful supplementary content; related=a) Service Explanations/Amazon EC2 .md; a) Service Explanations/Amazon EC2 Instance Connect .md; a) Service Explanations/Amazon EC2 Key Pairs .md; c) Keywords services/Amazon EC2 Purchasing & Billing Options.md; d) Tools & Policies/EC2 Pricing Models (Reserved Instances).md"
"a) Service Explanations/Amazon EC2 Key Pairs .md","04-compute/amazon-ec2/04-key-pairs.md","rename-and-move",both,"feature explanation",,high,"topic=Compute; service_or_concept=amazon-ec2; quality=useful supplementary content; related=a) Service Explanations/Amazon EC2 .md; a) Service Explanations/Amazon EC2 Instance Connect .md; a) Service Explanations/Amazon EC2 Instance Store.md; c) Keywords services/Amazon EC2 Purchasing & Billing Options.md; d) Tools & Policies/EC2 Pricing Models (Reserved Instances).md"
"a) Service Explanations/Amazon EFS .md","05-storage/amazon-efs/01-overview.md","merge-later",both,"service explanation",DG-15-efs,high,"topic=Storage; service_or_concept=amazon-efs; quality=duplicate candidate; related=a) Service Explanations/Amazon Elastic File System.md"
"a) Service Explanations/Amazon Elastic Block Store.md","05-storage/amazon-ebs/01-overview.md","rename-and-move",CPP,"service explanation",DG-16-ebs,high,"topic=Storage; service_or_concept=amazon-ebs; quality=canonical candidate; related=a) Service Explanations/Amazon EBS Volume.md"
"a) Service Explanations/Amazon Elastic File System.md","05-storage/amazon-efs/01-overview.md","rename-and-move",CPP,"service explanation",DG-15-efs,high,"topic=Storage; service_or_concept=amazon-efs; quality=canonical candidate; related=a) Service Explanations/Amazon EFS .md"
"a) Service Explanations/Amazon Elastic Transcoder .md","14-ai-ml-analytics-and-other-services/amazon-elastic-transcoder/01-overview.md","archive-later",CPP,"service explanation",,high,"topic=AI, ML, analytics, and other services; service_or_concept=amazon-elastic-transcoder; quality=obsolete-name candidate; no close overlap identified"
"a) Service Explanations/Amazon ElastiCache.md","06-databases/amazon-elasticache/01-overview.md","rename-and-move",both,"service explanation",,high,"topic=Databases; service_or_concept=amazon-elasticache; quality=canonical candidate; no close overlap identified"
"a) Service Explanations/Amazon EMR (Claude version).md","14-ai-ml-analytics-and-other-services/amazon-emr/01-overview.md","merge-later",CPP,"service explanation","DG-05-emr",high,"topic=AI, ML, analytics, and other services; service_or_concept=amazon-emr; quality=duplicate candidate; related=a) Service Explanations/Amazon EMR.md"
"a) Service Explanations/Amazon EMR.md","14-ai-ml-analytics-and-other-services/amazon-emr/01-overview.md","rename-and-move",CPP,"service explanation","DG-05-emr",high,"topic=AI, ML, analytics, and other services; service_or_concept=amazon-emr; quality=canonical candidate; related=a) Service Explanations/Amazon EMR (Claude version).md"
"a) Service Explanations/Amazon FSx for Lustre (Claude version).md","05-storage/amazon-fsx-for-lustre/01-overview.md","merge-later",both,"service explanation","DG-06-fsx-lustre",high,"topic=Storage; service_or_concept=amazon-fsx-for-lustre; quality=duplicate candidate; related=a) Service Explanations/Amazon FSx for Lustre.md"
"a) Service Explanations/Amazon FSx for Lustre.md","05-storage/amazon-fsx-for-lustre/01-overview.md","rename-and-move",both,"service explanation","DG-06-fsx-lustre",high,"topic=Storage; service_or_concept=amazon-fsx-for-lustre; quality=canonical candidate; related=a) Service Explanations/Amazon FSx for Lustre (Claude version).md"
"a) Service Explanations/Amazon FSx for Windows File Server.md","05-storage/amazon-fsx-for-windows-file-server/01-overview.md","rename-and-move",both,"service explanation",,high,"topic=Storage; service_or_concept=amazon-fsx-for-windows-file-server; quality=canonical candidate; no close overlap identified"
"a) Service Explanations/Amazon GuardDuty.md","09-security-and-compliance/amazon-guardduty/01-overview.md","rename-and-move",both,"service explanation",,high,"topic=Security and compliance; service_or_concept=amazon-guardduty; quality=canonical candidate; no close overlap identified"
"a) Service Explanations/Amazon Inspector.md","09-security-and-compliance/amazon-inspector/01-overview.md","rename-and-move",CPP,"service explanation",,high,"topic=Security and compliance; service_or_concept=amazon-inspector; quality=canonical candidate; no close overlap identified"
"a) Service Explanations/Amazon Kendra.md","14-ai-ml-analytics-and-other-services/amazon-kendra/01-overview.md","rename-and-move",CPP,"service explanation",,high,"topic=AI, ML, analytics, and other services; service_or_concept=amazon-kendra; quality=canonical candidate; no close overlap identified"
"a) Service Explanations/Amazon Kinesis Video Streams.md","14-ai-ml-analytics-and-other-services/amazon-kinesis-video-streams/01-overview.md","rename-and-move",CPP,"service explanation",,high,"topic=AI, ML, analytics, and other services; service_or_concept=amazon-kinesis-video-streams; quality=canonical candidate; no close overlap identified"
"a) Service Explanations/Amazon Lex.md","14-ai-ml-analytics-and-other-services/amazon-lex/01-overview.md","rename-and-move",CPP,"service explanation",,high,"topic=AI, ML, analytics, and other services; service_or_concept=amazon-lex; quality=canonical candidate; no close overlap identified"
"a) Service Explanations/Amazon Lightsail .md","04-compute/amazon-lightsail/01-overview.md","rename-and-move",CPP,"service explanation",,high,"topic=Compute; service_or_concept=amazon-lightsail; quality=canonical candidate; no close overlap identified"
"a) Service Explanations/Amazon Macie.md","09-security-and-compliance/amazon-macie/01-overview.md","rename-and-move",CPP,"service explanation",,high,"topic=Security and compliance; service_or_concept=amazon-macie; quality=canonical candidate; no close overlap identified"
