backlog_id,topic,target_path,action_taken,created_or_updated,sha256_before,sha256_after,sections_added,sections_removed,badge_changes,links_changed,official_sources_added,validation_status,final_status,notes
AWS-007,Amazon EC2,04-compute/amazon-ec2/01-overview.md,records-only,updated,cda8613d01a3b84a7be0fa8d12af6e8095f1c798ccc3b80d6c07ca6a494853ef,034711b17b700b453b5ba4a0ae5fa9b788e8c4e04c109468fa0ef58c6a1c35ba,"families; sizing; lifecycle; storage/network; HA; security; cost; selection; scenarios; knowledge check; references",none,CPP and SAA badges confirmed,service index reconciled,yes; checked 2026-07-22,passed,completed,Implemented before recovery and verified from canonical content and commit 6f9540d.
AWS-008,Elastic Load Balancing,04-compute/elastic-load-balancing/01-overview.md,records-only,created,,a6e6d183f8b2decc01b62cefcf38bfc2607b224379192b2e5820e884063028b4,"ALB/NLB/GWLB; health; cross-zone; TLS; HA; cost; scenarios; references",none,CPP and SAA badges confirmed,service index reconciled,yes; checked 2026-07-22,passed,completed,Implemented before recovery and verified from canonical content and commit 6f9540d.
AWS-009,EC2 Auto Scaling,04-compute/ec2-auto-scaling/01-target-tracking-scaling.md,records-only,updated,52c6a8464451901bd243056221ee06d45d189370b1e605d741f835a02f609c59,06b0554c1cb4cd2af0067b383b0ac022a0d742bee0d16897ba9b0ab8f5f41892,"target tracking; step; scheduled; health; capacity; trade-offs; scenarios; references",none,CPP and SAA badges confirmed,service index reconciled,yes; checked 2026-07-22,passed,completed,Implemented before recovery and verified from canonical content and commit 6f9540d.
AWS-010,AWS Lambda,04-compute/aws-lambda/01-overview.md,records-only,updated,b241407aac4318feaf3db3b86c53eb1411cc4ba7939feb5ff65aafbc564896a2,661d75f53869592ae480de062d74f68ed851026f3c8dbaa7336a663ff3f3b35a,"invocation; scaling; integrations; security; failure; cost; scenarios; references",none,CPP and SAA badges confirmed,service index reconciled,yes; checked 2026-07-22,passed,completed,Implemented before recovery and verified from canonical content and commit 6f9540d.
AWS-011,Containers,04-compute/containers/01-ecs-eks-and-fargate.md,records-only,created,,e8c56c7d05cdac158ee32ddd8344cc373d840a043cf7c96c9128006cf34150f6,"ECS/EKS/Fargate/ECR; EC2 capacity; selection; scaling; operations; cost; scenarios; references",none,CPP and SAA badges confirmed,service index reconciled,yes; checked 2026-07-22,passed,completed,Implemented before recovery and verified from canonical content and commit 6f9540d.
AWS-012,Amazon S3,05-storage/amazon-s3/01-overview.md,records-only,updated,222eeee2abd0a02bbb8b501f91cb5d2295d2c0474008f064506e488677993737,d25ce7ff0f1e451519b3182d7c22bf09f806af2a43e0912e7c47957abdbcc970,"durability; availability; security; versioning; replication; events; performance; cost; scenarios; references",none,CPP and SAA badges confirmed,service index reconciled,yes; checked 2026-07-22,passed,completed,Implemented before recovery and verified from canonical content and commit 6f9540d.
AWS-013,Amazon EBS,05-storage/amazon-ebs/01-overview.md,records-only,updated,2f743b2921533cb65bacdf8552a85f1f543d9ceb3a93ec10bd494f568168e870,49bf46168e58e7ebf9c74bd6ce5211d529d77d649319852052d9d094df761fe3,"volume types; IOPS/throughput; snapshots; encryption; AZ scope; cost; scenarios; references",none,CPP and SAA badges confirmed,service index reconciled,yes; checked 2026-07-22,passed,completed,Implemented before recovery and verified from canonical content and commit 6f9540d.
AWS-014,EC2 instance store,05-storage/ec2-instance-store/01-overview.md,records-only,updated,43e4b8710739640ac0a2b09119b657774906078d13b33fb00b8ea58206a4e25f,d79f246c5eca54498b9c937c2a19b69678b41abad6b9d90b05b9611f4e10b30d,"ephemeral behavior; performance; failure; suitable data; EBS comparison; references",none,CPP and SAA badges confirmed,service index reconciled,yes; checked 2026-07-22,passed,completed,Implemented before recovery and verified from canonical content and commit 6f9540d.
AWS-015,Amazon EFS,05-storage/amazon-efs/01-overview.md,records-only,updated,d56b4dbc7642de38896aedcaaaecd68492edb2eec6ffd8d991c5999f3f4c376a,e3e1cdf3d4d5879caa0203c6faf885595c136582a58bd396b61232533864c2f2,"Regional/One Zone; mount targets; performance; lifecycle; security; cost; references",none,CPP and SAA badges confirmed,service index reconciled,yes; checked 2026-07-22,passed,completed,Implemented before recovery and verified from canonical content and commit 6f9540d.
AWS-016,Amazon FSx,05-storage/amazon-fsx/01-family-and-selection.md,records-only,created,,eeccf32dfa1faef9571024b289d9f46c7e620cbf9b3a09df76092f0d764f1f3c,"FSx families; protocols; performance; HA; integrations; selection; references",none,CPP and SAA badges confirmed,service index reconciled,yes; checked 2026-07-22,passed,completed,Implemented before recovery and verified from canonical content and commit 6f9540d.
