backlog_id,priority,topic,batch,target_path,recommended_action,target_exists,meaningful_content_exists,cpp_requirement_met,saa_requirement_met,official_references_present,navigation_complete,acceptance_criteria_met,previous_status,reconciled_status,blocks_batch_3,evidence,remaining_work,notes
AWS-007,P0,Amazon EC2,Batch 2,04-compute/amazon-ec2/01-overview.md,expand-existing-lesson,true,true,true,true,true,true,true,deferred,completed,no,"04-compute/amazon-ec2/01-overview.md: SAA Design Supplement; Knowledge Check; Official References; commit 6f9540d",none,Verified existing original Batch 2 implementation; records-only final reconciliation.
AWS-008,P1,Elastic Load Balancing,Batch 2,04-compute/elastic-load-balancing/01-overview.md,create-new-lesson,true,true,true,true,true,true,true,deferred,completed,no,"04-compute/elastic-load-balancing/01-overview.md: Types and Selection; High Availability and Resilience; SAA Architecture and Design; Practice Questions; References; commit 6f9540d",none,Verified existing original Batch 2 implementation; records-only final reconciliation.
AWS-009,P1,EC2 Auto Scaling,Batch 2,04-compute/ec2-auto-scaling/01-target-tracking-scaling.md,expand-existing-lesson,true,true,true,true,true,true,true,deferred,completed,no,"04-compute/ec2-auto-scaling/01-target-tracking-scaling.md: Auto Scaling Group Design Supplement; Knowledge Check; Official References; commit 6f9540d",none,Verified existing original Batch 2 implementation; records-only final reconciliation.
AWS-010,P1,AWS Lambda,Batch 2,04-compute/aws-lambda/01-overview.md,expand-existing-lesson,true,true,true,true,true,true,true,deferred,completed,no,"04-compute/aws-lambda/01-overview.md: Invocation and Architecture Supplement; Knowledge Check; Official References; commit 6f9540d",none,Verified existing original Batch 2 implementation; records-only final reconciliation.
AWS-011,P1,Containers,Batch 2,04-compute/containers/01-ecs-eks-and-fargate.md,create-new-lesson,true,true,true,true,true,true,true,deferred,completed,no,"04-compute/containers/01-ecs-eks-and-fargate.md: Core Services; EC2 Capacity Versus Fargate; SAA Architecture and Design; Practice Questions; References; commit 6f9540d",none,Verified existing original Batch 2 implementation; records-only final reconciliation.
AWS-012,P0,Amazon S3,Batch 2,05-storage/amazon-s3/01-overview.md,expand-existing-lesson,true,true,true,true,true,true,true,deferred,completed,no,"05-storage/amazon-s3/01-overview.md: SAA Security and Resilience Supplement; Knowledge Check; Official References; commit 6f9540d",none,Verified existing original Batch 2 implementation; records-only final reconciliation.
AWS-013,P1,Amazon EBS,Batch 2,05-storage/amazon-ebs/01-overview.md,expand-existing-lesson,true,true,true,true,true,true,true,deferred,completed,no,"05-storage/amazon-ebs/01-overview.md: Volume types; SAA Performance and Recovery Supplement; Knowledge Check; Official References; commit 6f9540d",none,Verified existing original Batch 2 implementation; records-only final reconciliation.
AWS-014,P2,EC2 instance store,Batch 2,05-storage/ec2-instance-store/01-overview.md,expand-existing-lesson,true,true,true,true,true,true,true,deferred,completed,no,"05-storage/ec2-instance-store/01-overview.md: Failure and Design Supplement; EC2 Instance Store vs Amazon EBS; Knowledge Check; Official References; commit 6f9540d",none,Verified existing original Batch 2 implementation; records-only final reconciliation.
AWS-015,P1,Amazon EFS,Batch 2,05-storage/amazon-efs/01-overview.md,expand-existing-lesson,true,true,true,true,true,true,true,deferred,completed,no,"05-storage/amazon-efs/01-overview.md: SAA File-System Design Supplement; Knowledge Check; Official References; commit 6f9540d",none,Verified existing original Batch 2 implementation; records-only final reconciliation.
AWS-016,P2,Amazon FSx,Batch 2,05-storage/amazon-fsx/01-family-and-selection.md,create-comparison-guide,true,true,true,true,true,true,true,deferred,completed,no,"05-storage/amazon-fsx/01-family-and-selection.md: Family Selection; Availability Performance and Integration; SAA Architecture and Design; Practice Questions; References; commit 6f9540d",none,Verified existing original Batch 2 implementation; records-only final reconciliation.
AWS-017,P2,AWS Storage Gateway,Batch 2,05-storage/aws-storage-gateway/01-overview.md,expand-existing-lesson,true,true,true,true,true,true,true,deferred,completed,no,"05-storage/aws-storage-gateway/01-overview.md: Gateway types you should know; Current Gateway Selection Supplement; Knowledge Check; Official References; commit 6f9540d",none,Verified existing original Batch 2 implementation; records-only final reconciliation.
AWS-018,P1,AWS Backup,Batch 2,05-storage/aws-backup/01-overview.md,create-new-lesson,true,true,true,true,true,true,true,deferred,completed,no,"05-storage/aws-backup/01-overview.md: Core Concepts; Security and Shared Responsibility; SAA Architecture and Design; Practice Questions; References; commit 6f9540d",none,Verified existing original Batch 2 implementation; records-only final reconciliation.
AWS-019,P2,Compute and storage comparisons,Batch 2,15-comparisons-and-decision-guides/compute-and-storage/01-core-selection-guide.md,create-comparison-guide,true,true,true,true,true,true,true,deferred,completed,no,"15-comparisons-and-decision-guides/compute-and-storage/01-core-selection-guide.md: Compute Decision Table; Storage Decision Table; SAA Scenario Patterns; Knowledge Check; References; commit 6f9540d",none,Verified existing original Batch 2 implementation; records-only final reconciliation.
