domain_id,domain_name,domain_weight,task_id,task_title,requirement_id,knowledge_or_skill,requirement_type,canonical_paths,evidence_headings,coverage_status,current_depth,required_depth,missing_elements,priority,recommended_action,target_path,notes
1,Cloud Concepts,24%,1.1,Define the AWS Cloud and its value proposition,CPP-1.1-01,AWS Cloud value proposition,knowledge,12-billing-pricing-and-support/aws-billing-and-cost-management/02-study-guide.md,💰 AWS Cloud Practitioner — Fixed vs Variable Costs,mention-only,mention-only,fundamental,Full beginner explanation and exam-context reasoning,P2,expand-existing-lesson,12-billing-pricing-and-support/aws-billing-and-cost-management/02-study-guide.md,"Evidence chosen from lesson bodies, not names or badges; verify during implementation."
1,Cloud Concepts,24%,1.1,Define the AWS Cloud and its value proposition,CPP-1.1-02,cloud economics,knowledge,01-cloud-fundamentals/README.md,Cloud Fundamentals,mention-only,mention-only,fundamental,Full beginner explanation and exam-context reasoning,P2,expand-existing-lesson,01-cloud-fundamentals/README.md,"Evidence chosen from lesson bodies, not names or badges; verify during implementation."
1,Cloud Concepts,24%,1.1,Define the AWS Cloud and its value proposition,CPP-1.1-03,global reach and agility,knowledge,12-billing-pricing-and-support/aws-support/02-support-plans.md; 07-networking-and-content-delivery/amazon-route-53/01-overview.md; 12-billing-pricing-and-support/customer-enablement/aws-partner-network/01-overview.md,AWS Support plans; 7. Global service; 1. Global partner ecosystem,partial,fundamental,fundamental,Full beginner explanation and exam-context reasoning,P2,expand-existing-lesson,12-billing-pricing-and-support/aws-support/02-support-plans.md,"Evidence chosen from lesson bodies, not names or badges; verify during implementation."
1,Cloud Concepts,24%,1.1,Define the AWS Cloud and its value proposition,CPP-1.1-04,Explain cloud benefits,skill,04-compute/aws-batch/01-overview.md,The four building blocks explained,mention-only,mention-only,fundamental,Full beginner explanation and exam-context reasoning,P2,expand-existing-lesson,04-compute/aws-batch/01-overview.md,"Evidence chosen from lesson bodies, not names or badges; verify during implementation."
1,Cloud Concepts,24%,1.1,Define the AWS Cloud and its value proposition,CPP-1.1-05,Match cloud benefits to business needs,skill,10-monitoring-management-and-deployment/aws-codepipeline/01-overview.md; 04-compute/amazon-ec2/07-placement-groups.md; 09-security-and-compliance/amazon-verified-permissions/01-overview.md,AWS CodePipeline – README Study Note; 🖥️ EC2 Placement Groups; Amazon Verified Permissions,partial,awareness,fundamental,Full beginner explanation and exam-context reasoning,P2,expand-existing-lesson,10-monitoring-management-and-deployment/aws-codepipeline/01-overview.md,"Evidence chosen from lesson bodies, not names or badges; verify during implementation."
1,Cloud Concepts,24%,1.2,Identify AWS Cloud design principles,CPP-1.2-01,Well-Architected pillars,knowledge,13-architecture-and-design-patterns/aws-well-architected-framework/01-overview.md; 12-billing-pricing-and-support/aws-support/02-support-plans.md; 12-billing-pricing-and-support/customer-enablement/aws-recommendation-resources/01-study-guide.md,AWS Well-Architected Framework; Well-Architected Framework (linked to higher support tiers); 3️⃣ AWS Well-Architected Tool,partial,awareness,fundamental,Full beginner explanation and exam-context reasoning,P2,expand-existing-lesson,13-architecture-and-design-patterns/aws-well-architected-framework/01-overview.md,"Evidence chosen from lesson bodies, not names or badges; verify during implementation."
1,Cloud Concepts,24%,1.2,Identify AWS Cloud design principles,CPP-1.2-02,design for failure,knowledge,13-architecture-and-design-patterns/aws-well-architected-framework/01-overview.md; 04-compute/amazon-ec2/07-placement-groups.md; 12-billing-pricing-and-support/aws-support/02-support-plans.md,AWS Well-Architected Framework; Hardware Failure Isolation; AWS Support plans,mention-only,mention-only,fundamental,Full beginner explanation and exam-context reasoning,P2,expand-existing-lesson,13-architecture-and-design-patterns/aws-well-architected-framework/01-overview.md,"Evidence chosen from lesson bodies, not names or badges; verify during implementation."
1,Cloud Concepts,24%,1.2,Identify AWS Cloud design principles,CPP-1.2-03,elasticity and automation,knowledge,,,missing,none,fundamental,Full beginner explanation and exam-context reasoning,P1,create-new-lesson,13-architecture-and-design-patterns/manual-review.md,"Evidence chosen from lesson bodies, not names or badges; verify during implementation."
1,Cloud Concepts,24%,1.2,Identify AWS Cloud design principles,CPP-1.2-04,Recognize appropriate cloud design principles,skill,04-compute/aws-batch/01-overview.md; 12-billing-pricing-and-support/aws-billing-and-cost-management/03-data-transfer-costs.md; 04-compute/ec2-auto-scaling/01-target-tracking-scaling.md,AWS Batch; AWS Charging Patterns and Data Transfer Costs; 6. Do you recognize exam clue words?,partial,awareness,fundamental,Full beginner explanation and exam-context reasoning,P2,expand-existing-lesson,04-compute/aws-batch/01-overview.md,"Evidence chosen from lesson bodies, not names or badges; verify during implementation."
1,Cloud Concepts,24%,1.3,Understand migration benefits and strategies,CPP-1.3-01,AWS Cloud migration benefits,knowledge,11-migration-and-hybrid-cloud/aws-application-discovery-service/01-overview.md; 11-migration-and-hybrid-cloud/aws-outposts/01-overview.md; 11-migration-and-hybrid-cloud/aws-migration-hub/01-overview.md,1. Inventory discovery before migration; 5. Gradual cloud migration; AWS Migration Hub,partial,mention-only,fundamental,Full beginner explanation and exam-context reasoning,P2,expand-existing-lesson,11-migration-and-hybrid-cloud/aws-application-discovery-service/01-overview.md,"Evidence chosen from lesson bodies, not names or badges; verify during implementation."
