path,file_type,category,canonical_owner,cpp_badge,saa_badge,has_references,has_internal_links,phase_status_reference,last_verification_date,qa_risk,planned_review,notes
01-cloud-fundamentals/01-shared-responsibility-model.md,canonical-lesson,01-cloud-fundamentals,no,true,true,true,false,Phase 6 Batch 1: AWS-001,2026-07-22,medium,"structure, navigation, and consistency review",Pre-release inventory completed before Phase 7 repository-content repairs.
01-cloud-fundamentals/02-cloud-concepts-and-benefits.md,canonical-lesson,01-cloud-fundamentals,no,true,false,true,true,Phase 6 Batch 1: AWS-002,2026-07-22,medium,"structure, navigation, and consistency review",Pre-release inventory completed before Phase 7 repository-content repairs.
01-cloud-fundamentals/README.md,navigation,01-cloud-fundamentals,no,false,false,false,true,Phase 7 volatile or navigation review,not-stated,medium,"structure, navigation, and consistency review",Pre-release inventory completed before Phase 7 repository-content repairs.
02-global-infrastructure/01-regions-availability-zones-and-edge.md,canonical-lesson,02-global-infrastructure,no,true,true,true,false,Phase 6 Batch 1: AWS-003,2026-07-22,medium,"structure, navigation, and consistency review",Pre-release inventory completed before Phase 7 repository-content repairs.
02-global-infrastructure/README.md,navigation,02-global-infrastructure,no,false,false,false,true,Phase 7 volatile or navigation review,not-stated,medium,"structure, navigation, and consistency review",Pre-release inventory completed before Phase 7 repository-content repairs.
03-identity-governance-and-organizations/README.md,navigation,03-identity-governance-and-organizations,no,false,false,false,true,Phase 7 volatile or navigation review,not-stated,medium,"structure, navigation, and consistency review",Pre-release inventory completed before Phase 7 repository-content repairs.
03-identity-governance-and-organizations/aws-iam/01-overview.md,canonical-lesson,03-identity-governance-and-organizations,yes,true,true,true,false,Phase 6 Batch 1: AWS-004,2026-07-22,high,full high-risk review,Pre-release inventory completed before Phase 7 repository-content repairs.
04-compute/README.md,navigation,04-compute,no,false,false,false,true,Phase 7 volatile or navigation review,not-stated,medium,"structure, navigation, and consistency review",Pre-release inventory completed before Phase 7 repository-content repairs.
04-compute/amazon-ec2/01-overview.md,canonical-lesson,04-compute,yes,true,true,false,false,Phase 6 Batch 2: AWS-007,2026-07-22,high,full high-risk review,Pre-release inventory completed before Phase 7 repository-content repairs.
04-compute/aws-lambda/01-overview.md,canonical-lesson,04-compute,yes,true,true,false,false,Phase 6 Batch 2: AWS-010,2026-07-22,high,full high-risk review,Pre-release inventory completed before Phase 7 repository-content repairs.
04-compute/containers/01-ecs-eks-and-fargate.md,canonical-lesson,04-compute,no,true,true,true,false,Phase 6 Batch 2: AWS-011,2026-07-22,high,full high-risk review,Pre-release inventory completed before Phase 7 repository-content repairs.
04-compute/ec2-auto-scaling/01-target-tracking-scaling.md,canonical-lesson,04-compute,yes,true,true,false,false,Phase 6 Batch 2: AWS-009,2026-07-22,high,full high-risk review,Pre-release inventory completed before Phase 7 repository-content repairs.
04-compute/elastic-load-balancing/01-overview.md,canonical-lesson,04-compute,no,true,true,true,false,Phase 6 Batch 2: AWS-008,2026-07-22,high,full high-risk review,Pre-release inventory completed before Phase 7 repository-content repairs.
05-storage/README.md,navigation,05-storage,no,false,false,false,true,Phase 7 volatile or navigation review,not-stated,medium,"structure, navigation, and consistency review",Pre-release inventory completed before Phase 7 repository-content repairs.
05-storage/amazon-ebs/01-overview.md,canonical-lesson,05-storage,yes,true,true,false,false,Phase 6 Batch 2: AWS-013,2026-07-22,medium,"structure, navigation, and consistency review",Pre-release inventory completed before Phase 7 repository-content repairs.
05-storage/amazon-efs/01-overview.md,canonical-lesson,05-storage,yes,true,true,false,false,Phase 6 Batch 2: AWS-015,2026-07-22,medium,"structure, navigation, and consistency review",Pre-release inventory completed before Phase 7 repository-content repairs.
05-storage/amazon-fsx/01-family-and-selection.md,canonical-lesson,05-storage,no,true,true,true,false,Phase 6 Batch 2: AWS-016,2026-07-22,medium,"structure, navigation, and consistency review",Pre-release inventory completed before Phase 7 repository-content repairs.
05-storage/amazon-s3/01-overview.md,canonical-lesson,05-storage,yes,true,true,false,false,Phase 6 Batch 2: AWS-012,2026-07-22,high,full high-risk review,Pre-release inventory completed before Phase 7 repository-content repairs.
05-storage/aws-backup/01-overview.md,canonical-lesson,05-storage,no,true,true,true,false,Phase 6 Batch 2: AWS-018,2026-07-22,medium,"structure, navigation, and consistency review",Pre-release inventory completed before Phase 7 repository-content repairs.
