backlog_id,topic,target_path,expected_action,target_exists,meaningful_content_exists,cpp_depth,saa_depth,official_references,navigation_complete,acceptance_criteria_met,actual_status,remaining_work,recovery_action,evidence,notes
AWS-007,Amazon EC2,04-compute/amazon-ec2/01-overview.md,expand-existing-lesson,true,true,fundamental,scenario-ready,true,true,true,completed,none,records-only,"SAA Design Supplement; Knowledge Check; Official References; commit 6f9540d","Original Batch 2 implementation retained; no recovery lesson edit."
AWS-008,Elastic Load Balancing,04-compute/elastic-load-balancing/01-overview.md,create-new-lesson,true,true,awareness,scenario-ready,true,true,true,completed,none,records-only,"Types and Selection; High Availability and Resilience; SAA Architecture and Design; Practice Questions; References; commit 6f9540d","Created during original Batch 2; no recovery lesson edit."
AWS-009,EC2 Auto Scaling,04-compute/ec2-auto-scaling/01-target-tracking-scaling.md,expand-existing-lesson,true,true,fundamental,scenario-ready,true,true,true,completed,none,records-only,"Auto Scaling Group Design Supplement; Knowledge Check; Official References; commit 6f9540d","Original Batch 2 implementation retained; no recovery lesson edit."
AWS-010,AWS Lambda,04-compute/aws-lambda/01-overview.md,expand-existing-lesson,true,true,fundamental,scenario-ready,true,true,true,completed,none,records-only,"Invocation and Architecture Supplement; Knowledge Check; Official References; commit 6f9540d","Original Batch 2 implementation retained; no recovery lesson edit."
AWS-011,Containers,04-compute/containers/01-ecs-eks-and-fargate.md,create-new-lesson,true,true,awareness,architecture-and-design,true,true,true,completed,none,records-only,"Core Services; EC2 Capacity Versus Fargate; SAA Architecture and Design; Practice Questions; References; commit 6f9540d","Created during original Batch 2; no recovery lesson edit."
AWS-012,Amazon S3,05-storage/amazon-s3/01-overview.md,expand-existing-lesson,true,true,fundamental,scenario-ready,true,true,true,completed,none,records-only,"SAA Security and Resilience Supplement; Knowledge Check; Official References; commit 6f9540d","Original Batch 2 implementation retained; no recovery lesson edit."
AWS-013,Amazon EBS,05-storage/amazon-ebs/01-overview.md,expand-existing-lesson,true,true,fundamental,architecture-and-design,true,true,true,completed,none,records-only,"Volume types; SAA Performance and Recovery Supplement; Knowledge Check; Official References; commit 6f9540d","Original Batch 2 implementation retained; no recovery lesson edit."
AWS-014,EC2 instance store,05-storage/ec2-instance-store/01-overview.md,expand-existing-lesson,true,true,fundamental,architecture-and-design,true,true,true,completed,none,records-only,"Failure and Design Supplement; EBS comparison; Knowledge Check; Official References; commit 6f9540d","Original Batch 2 implementation retained; no recovery lesson edit."
AWS-015,Amazon EFS,05-storage/amazon-efs/01-overview.md,expand-existing-lesson,true,true,fundamental,architecture-and-design,true,true,true,completed,none,records-only,"SAA File-System Design Supplement; Knowledge Check; Official References; commit 6f9540d","Original Batch 2 implementation retained; no recovery lesson edit."
AWS-016,Amazon FSx,05-storage/amazon-fsx/01-family-and-selection.md,create-comparison-guide,true,true,awareness,architecture-and-design,true,true,true,completed,none,records-only,"Family Selection; Availability Performance and Integration; SAA Architecture and Design; Practice Questions; References; commit 6f9540d","Created during original Batch 2; no recovery lesson edit."
AWS-017,AWS Storage Gateway,05-storage/aws-storage-gateway/01-overview.md,expand-existing-lesson,true,true,fundamental,architecture-and-design,true,true,true,completed,none,records-only,"Gateway types; Current Gateway Selection Supplement; Knowledge Check; Official References; commit 6f9540d","Original Batch 2 implementation retained; no recovery lesson edit."
AWS-018,AWS Backup,05-storage/aws-backup/01-overview.md,create-new-lesson,true,true,fundamental,architecture-and-design,true,true,true,completed,none,records-only,"Core Concepts; Security and Shared Responsibility; SAA Architecture and Design; Practice Questions; References; commit 6f9540d","Created during original Batch 2; no recovery lesson edit."
AWS-019,Compute and storage comparisons,15-comparisons-and-decision-guides/compute-and-storage/01-core-selection-guide.md,create-comparison-guide,true,true,fundamental,scenario-ready,true,true,true,completed,none,records-only,"Compute Decision Table; Storage Decision Table; SAA Scenario Patterns; Knowledge Check; References; commit 6f9540d","Created during original Batch 2; no recovery lesson edit."
