path,change_type,classification,project_phase,purpose,canonical_or_supporting,cpp_impact,saa_impact,risk_level,human_review_required,validation_status,include_in_commit,notes
.gitattributes,added,configuration,Phases 1-4 (70818e2),"Define repository formatting, ignore, or text-handling behavior",not-applicable,none,none,medium,yes,passed-with-documented-limitations,yes,PR commit evidence=70818e2 chore: checkpoint before canonical AWS note consolidation
.gitignore,added,configuration,Phases 1-4 (70818e2),"Define repository formatting, ignore, or text-handling behavior",not-applicable,none,none,medium,yes,passed-with-documented-limitations,yes,PR commit evidence=70818e2 chore: checkpoint before canonical AWS note consolidation
.markdownlint.json,added,configuration,Phases 1-4 (70818e2),"Define repository formatting, ignore, or text-handling behavior",not-applicable,none,none,medium,yes,passed-with-documented-limitations,yes,PR commit evidence=70818e2 chore: checkpoint before canonical AWS note consolidation
.tmp_phase7_inventory.py,deleted,script,Phase 7,Remove temporary inventory generator,supporting,none,none,low,yes,passed,no,Temporary file content is excluded; human should retain the tracked deletion as cleanup.
.tmp_phase7_qa_csvs.py,deleted,script,Phase 7,Remove temporary QA CSV generator,supporting,none,none,low,yes,passed,no,Temporary file content is excluded; human should retain the tracked deletion as cleanup.
01-cloud-fundamentals/01-shared-responsibility-model.md,added,learning-content,Phase 6 Batch 1,Provide canonical AWS certification study content,supporting,supporting study content,supporting architecture content,medium,yes,passed-with-documented-limitations,yes,Phase 6 backlog AWS-001 status=completed; Phase 6 Batch 1 post-implementation evidence for AWS-001; Phase 7 QA result=passed; Phase 7 exam-integrity result=passed; PR commit evidence=6f9540d update
01-cloud-fundamentals/02-cloud-concepts-and-benefits.md,added,learning-content,Phase 6 Batch 1,Provide canonical AWS certification study content,supporting,supporting study content,supporting architecture content,medium,yes,passed-with-documented-limitations,yes,Phase 6 backlog AWS-002 status=completed; Phase 6 Batch 1 post-implementation evidence for AWS-002; Phase 7 QA result=passed with limitation; Phase 7 exam-integrity result=passed-with-limitation; PR commit evidence=6f9540d update
01-cloud-fundamentals/README.md,added,navigation,Phases 1-4 (f24d1b6),Provide current repository or learner navigation,supplementary,mention-only,mention-only,medium,yes,passed-with-documented-limitations,yes,"CANONICAL-CONTENT-INVENTORY.csv navigation=category-index; quality=too-shallow; Phase 7 QA result=passed; Phase 7 canonical-owner result=passed; Phase 7 badge result=passed; PR commit evidence=70818e2 chore: checkpoint before canonical AWS note consolidation, 7352a17 update, 6f9540d update, f24d1b6 update"
02-global-infrastructure/01-regions-availability-zones-and-edge.md,added,learning-content,Phase 6 Batch 1,Provide canonical AWS certification study content,supporting,supporting study content,supporting architecture content,medium,yes,passed-with-documented-limitations,yes,Phase 6 backlog AWS-003 status=completed; Phase 6 Batch 1 post-implementation evidence for AWS-003; Phase 7 QA result=passed with limitation; Phase 7 exam-integrity result=passed-with-limitation; PR commit evidence=6f9540d update
02-global-infrastructure/aws-local-zones/01-overview.md,renamed,learning-content,Phase 4,Migrate a) Service Explanations/AWS Local Zones.md into the canonical repository structure,canonical,awareness,intermediate,high,yes,passed-with-documented-limitations,yes,GitHub rename evidence: a) Service Explanations/AWS Local Zones.md -> 02-global-infrastructure/aws-local-zones/01-overview.md; PHASE-4-CANONICAL-SOURCE-MAP.csv merge_type=consolidated; content_verified=yes; PHASE-4-SOURCE-COVERAGE-MAP.csv action=retained-as-canonical; target=02-global-infrastructure/aws-local-zones/01-overview.md; verification=verified; CANONICAL-CONTENT-INVENTORY.csv navigation=missing-local-index; quality=strong; Phase 7 canonical-owner result=passed; Phase 7 badge result=passed; PR commit evidence=70818e2 chore: checkpoint before canonical AWS note consolidation
02-global-infrastructure/aws-wavelength/01-overview.md,renamed,learning-content,Phase 4,Migrate a) Service Explanations/AWS Wavelength.md into the canonical repository structure,canonical,mention-only,awareness,high,yes,passed-with-documented-limitations,yes,GitHub rename evidence: a) Service Explanations/AWS Wavelength.md -> 02-global-infrastructure/aws-wavelength/01-overview.md; PHASE-4-CANONICAL-SOURCE-MAP.csv merge_type=consolidated; content_verified=yes; PHASE-4-SOURCE-COVERAGE-MAP.csv action=retained-as-canonical; target=02-global-infrastructure/aws-wavelength/01-overview.md; verification=verified; CANONICAL-CONTENT-INVENTORY.csv navigation=missing-local-index; quality=adequate; Phase 7 canonical-owner result=passed; Phase 7 badge result=passed; PR commit evidence=70818e2 chore: checkpoint before canonical AWS note consolidation
02-global-infrastructure/README.md,added,navigation,Phases 1-4 (f24d1b6),Provide current repository or learner navigation,supplementary,mention-only,mention-only,medium,yes,passed-with-documented-limitations,yes,"CANONICAL-CONTENT-INVENTORY.csv navigation=category-index; quality=too-shallow; Phase 7 QA result=passed; Phase 7 canonical-owner result=passed; Phase 7 badge result=passed; PR commit evidence=70818e2 chore: checkpoint before canonical AWS note consolidation, 7352a17 update, 6f9540d update, f24d1b6 update"
03-identity-governance-and-organizations/aws-control-tower/01-overview.md,renamed,learning-content,Phase 4,Migrate a) Service Explanations/AWS Control Tower.md into the canonical repository structure,canonical,awareness,intermediate,medium,yes,passed-with-documented-limitations,yes,GitHub rename evidence: a) Service Explanations/AWS Control Tower.md -> 03-identity-governance-and-organizations/aws-control-tower/01-overview.md; PHASE-4-CANONICAL-SOURCE-MAP.csv merge_type=consolidated; content_verified=yes; PHASE-4-SOURCE-COVERAGE-MAP.csv action=retained-as-canonical; target=03-identity-governance-and-organizations/aws-control-tower/01-overview.md; verification=verified; CANONICAL-CONTENT-INVENTORY.csv navigation=missing-local-index; quality=strong; Phase 7 canonical-owner result=passed; Phase 7 badge result=passed; PR commit evidence=70818e2 chore: checkpoint before canonical AWS note consolidation
03-identity-governance-and-organizations/aws-directory-service/01-overview.md,renamed,learning-content,Phase 4,Migrate a) Service Explanations/AWS Directory Service.md into the canonical repository structure,canonical,awareness,intermediate,medium,yes,passed-with-documented-limitations,yes,GitHub rename evidence: a) Service Explanations/AWS Directory Service.md -> 03-identity-governance-and-organizations/aws-directory-service/01-overview.md; PHASE-4-CANONICAL-SOURCE-MAP.csv merge_type=consolidated; content_verified=yes; PHASE-4-SOURCE-COVERAGE-MAP.csv action=retained-as-canonical; target=03-identity-governance-and-organizations/aws-directory-service/01-overview.md; verification=verified; CANONICAL-CONTENT-INVENTORY.csv navigation=missing-local-index; quality=strong; Phase 7 canonical-owner result=passed; Phase 7 badge result=passed; PR commit evidence=70818e2 chore: checkpoint before canonical AWS note consolidation
