backlog_id,topic,target_path,current_paths,recommended_action,exists_before,sha256_before,planned_sections,official_sources,dependencies,risk_level,implementation_status,notes
AWS-007,Amazon EC2,04-compute/amazon-ec2/01-overview.md,04-compute/amazon-ec2/01-overview.md,expand-existing-lesson,true,cda8613d01a3b84a7be0fa8d12af6e8095f1c798ccc3b80d6c07ca6a494853ef,families; sizing; lifecycle; storage/network; HA; security; cost; selection; scenarios; knowledge check; references,Amazon EC2 User Guide; EC2 security guidance; exam guides,AWS-003; AWS-004,high,planned,Checksum captured before modification.
AWS-008,Elastic Load Balancing,04-compute/elastic-load-balancing/01-overview.md,04-compute/README.md,create-new-lesson,false,,ALB/NLB/GWLB; listeners; target groups; health; cross-zone; TLS; HA; cost; scenarios; references,Elastic Load Balancing documentation and load-balancer guides,AWS-007,high,planned,Target did not exist at preflight.
AWS-009,EC2 Auto Scaling,04-compute/ec2-auto-scaling/01-target-tracking-scaling.md,04-compute/ec2-auto-scaling/01-target-tracking-scaling.md,expand-existing-lesson,true,52c6a8464451901bd243056221ee06d45d189370b1e605d741f835a02f609c59,ASG capacity; launch templates; target tracking; step/scheduled; health; warmup; Multi-AZ; trade-offs; references,EC2 Auto Scaling launch template and scaling-policy documentation,AWS-008,high,planned,Checksum captured before modification.
AWS-010,AWS Lambda,04-compute/aws-lambda/01-overview.md,04-compute/aws-lambda/01-overview.md,expand-existing-lesson,true,b241407aac4318feaf3db3b86c53eb1411cc4ba7939feb5ff65aafbc564896a2,invocation; scaling/concurrency; integrations; security; failure/retries; cost; scenarios; references,AWS Lambda Developer Guide,none,high,planned,Checksum captured before modification.
AWS-011,Containers,04-compute/containers/01-ecs-eks-and-fargate.md,04-compute/README.md,create-new-lesson,false,,ECS/EKS/Fargate/ECR; EC2 capacity; selection; scaling; operations; cost; scenarios; references,"AWS container service decision guide; ECS, EKS, Fargate, and ECR documentation",none,high,planned,Target did not exist at preflight.
AWS-012,Amazon S3,05-storage/amazon-s3/01-overview.md,05-storage/amazon-s3/01-overview.md,expand-existing-lesson,true,222eeee2abd0a02bbb8b501f91cb5d2295d2c0474008f064506e488677993737,object design; durability/availability; security; versioning; replication; events; performance; cost; references,Amazon S3 User Guide and security/replication documentation,none,high,planned,Checksum captured before modification.
AWS-013,Amazon EBS,05-storage/amazon-ebs/01-overview.md,05-storage/amazon-ebs/01-overview.md,expand-existing-lesson,true,2f743b2921533cb65bacdf8552a85f1f543d9ceb3a93ec10bd494f568168e870,volume types; IOPS/throughput; snapshots; encryption; AZ scope; cost; scenarios; references,Amazon EBS User Guide,AWS-007,medium,planned,Checksum captured before modification.
AWS-014,EC2 instance store,05-storage/ec2-instance-store/01-overview.md,05-storage/ec2-instance-store/01-overview.md,expand-existing-lesson,true,43e4b8710739640ac0a2b09119b657774906078d13b33fb00b8ea58206a4e25f,ephemeral behavior; performance; failure; suitable data; EBS comparison; references,Amazon EC2 instance store documentation,AWS-007,medium,planned,Checksum captured before modification.
AWS-015,Amazon EFS,05-storage/amazon-efs/01-overview.md,05-storage/amazon-efs/01-overview.md,expand-existing-lesson,true,d56b4dbc7642de38896aedcaaaecd68492edb2eec6ffd8d991c5999f3f4c376a,Regional/One Zone; mount targets; NFS; performance/throughput; lifecycle; security; cost; references,Amazon EFS User Guide,none,medium,planned,Checksum captured before modification.
AWS-016,Amazon FSx,05-storage/amazon-fsx/01-family-and-selection.md,05-storage/amazon-fsx-for-lustre/01-overview.md,create-comparison-guide,false,,FSx families; protocols; performance; HA; integrations; selection table; references,Amazon FSx documentation and family user guides,none,medium,planned,Target did not exist at preflight.
AWS-017,AWS Storage Gateway,05-storage/aws-storage-gateway/01-overview.md,05-storage/aws-storage-gateway/01-overview.md,expand-existing-lesson,true,7963d618c5f1035c9663840c999f7e76c161288d47500bb935431ee310178fac,S3 File/Volume/Tape Gateway; cache; recovery; connectivity; selection; cost; references,AWS Storage Gateway User Guide,none,medium,planned,Checksum captured before modification.
AWS-018,AWS Backup,05-storage/aws-backup/01-overview.md,05-storage/README.md,create-new-lesson,false,,plans; rules; vaults; assignments; cross-account/Region; Vault Lock; restore testing; cost; references,AWS Backup Developer Guide,none,medium,planned,Target did not exist at preflight.
AWS-019,Compute and storage comparisons,15-comparisons-and-decision-guides/compute-and-storage/01-core-selection-guide.md,15-comparisons-and-decision-guides/README.md,create-comparison-guide,false,,EC2/Lambda/containers and S3/EBS/EFS/instance-store decision tables; scenarios; references,"Official EC2, Lambda, container, S3, EBS, EFS, and instance-store documentation",AWS-007; AWS-009; AWS-010; AWS-012,high,planned,Target did not exist at preflight.
