canonical_path,current_cpp_badge,current_saa_badge,recommended_cpp_badge,recommended_saa_badge,evidence,confidence,action_required,notes
01-cloud-fundamentals/README.md,false,false,false,false,Body depth: CPP mention-only; SAA mention-only,high,none,Actual badge state reconciled during Batch 10 final review; no change required. Checked 2026-07-25.
02-global-infrastructure/aws-local-zones/01-overview.md,false,false,false,false,Body depth: CPP awareness; SAA intermediate,high,none,Batch 10 manual reconciliation retired the automated Phase 5 recommendation; current page-level badge state is retained conservatively because depth and official scope must both be demonstrated. Checked 2026-07-25.
02-global-infrastructure/aws-wavelength/01-overview.md,false,false,false,false,Body depth: CPP mention-only; SAA awareness,high,none,Actual badge state reconciled during Batch 10 final review; no change required. Checked 2026-07-25.
02-global-infrastructure/README.md,false,false,false,false,Body depth: CPP mention-only; SAA mention-only,high,none,Actual badge state reconciled during Batch 10 final review; no change required. Checked 2026-07-25.
03-identity-governance-and-organizations/aws-control-tower/01-overview.md,false,false,false,false,Body depth: CPP awareness; SAA intermediate,high,none,Batch 10 manual reconciliation retired the automated Phase 5 recommendation; current page-level badge state is retained conservatively because depth and official scope must both be demonstrated. Checked 2026-07-25.
03-identity-governance-and-organizations/aws-directory-service/01-overview.md,false,false,false,false,Body depth: CPP awareness; SAA intermediate,high,none,Batch 10 manual reconciliation retired the automated Phase 5 recommendation; current page-level badge state is retained conservatively because depth and official scope must both be demonstrated. Checked 2026-07-25.
03-identity-governance-and-organizations/aws-iam/01-overview.md,true,true,true,true,Body depth: CPP awareness; SAA awareness,high,none,Batch 10 manual reconciliation retired the automated Phase 5 recommendation; current page-level badge state is retained conservatively because depth and official scope must both be demonstrated. Checked 2026-07-25.
03-identity-governance-and-organizations/aws-iam/02-users.md,false,false,false,false,Body depth: CPP awareness; SAA awareness,high,none,Batch 10 manual reconciliation retired the automated Phase 5 recommendation; current page-level badge state is retained conservatively because depth and official scope must both be demonstrated. Checked 2026-07-25.
03-identity-governance-and-organizations/aws-iam/03-groups.md,false,false,false,false,Body depth: CPP awareness; SAA intermediate,high,none,Batch 10 manual reconciliation retired the automated Phase 5 recommendation; current page-level badge state is retained conservatively because depth and official scope must both be demonstrated. Checked 2026-07-25.
03-identity-governance-and-organizations/aws-iam/04-roles.md,false,false,false,false,Body depth: CPP awareness; SAA awareness,high,none,Batch 10 manual reconciliation retired the automated Phase 5 recommendation; current page-level badge state is retained conservatively because depth and official scope must both be demonstrated. Checked 2026-07-25.
03-identity-governance-and-organizations/aws-iam/05-customer-managed-policies.md,true,false,true,false,Body depth: CPP awareness; SAA awareness,high,none,Actual badge state reconciled during Batch 10 final review; no change required. Checked 2026-07-25.
03-identity-governance-and-organizations/aws-iam/06-inline-policies.md,false,false,false,false,Body depth: CPP awareness; SAA awareness,high,none,Batch 10 manual reconciliation retired the automated Phase 5 recommendation; current page-level badge state is retained conservatively because depth and official scope must both be demonstrated. Checked 2026-07-25.
