path,review_area,issue_severity,issue_description,evidence,action_taken,validation_result,notes
01-cloud-fundamentals/01-shared-responsibility-model.md,"headings, placeholders, claims, tables, checks, and references",none,No consistency defect detected by structural and claim scans.,Phase 7 automated and manual review,none required,passed,"No placeholder, merge marker, or unsafe guarantee was found."
01-cloud-fundamentals/02-cloud-concepts-and-benefits.md,"headings, placeholders, claims, tables, checks, and references",medium,Knowledge-check questions lack nearby answer explanations.,knowledge-check scan,documented as non-blocking editorial debt; no broad content rewrite in Phase 7,passed with limitation,"No placeholder, merge marker, or unsafe guarantee was found."
01-cloud-fundamentals/README.md,"headings, placeholders, claims, tables, checks, and references",none,No consistency defect detected by structural and claim scans.,Phase 7 automated and manual review,none required,passed,"No placeholder, merge marker, or unsafe guarantee was found."
02-global-infrastructure/01-regions-availability-zones-and-edge.md,"headings, placeholders, claims, tables, checks, and references",medium,Knowledge-check questions lack nearby answer explanations.,knowledge-check scan,documented as non-blocking editorial debt; no broad content rewrite in Phase 7,passed with limitation,"No placeholder, merge marker, or unsafe guarantee was found."
02-global-infrastructure/README.md,"headings, placeholders, claims, tables, checks, and references",none,No consistency defect detected by structural and claim scans.,Phase 7 automated and manual review,none required,passed,"No placeholder, merge marker, or unsafe guarantee was found."
03-identity-governance-and-organizations/README.md,"headings, placeholders, claims, tables, checks, and references",none,No consistency defect detected by structural and claim scans.,Phase 7 automated and manual review,none required,passed,"No placeholder, merge marker, or unsafe guarantee was found."
03-identity-governance-and-organizations/aws-iam/01-overview.md,"headings, placeholders, claims, tables, checks, and references",none,No consistency defect detected by structural and claim scans.,Phase 7 automated and manual review,none required,passed,"No placeholder, merge marker, or unsafe guarantee was found."
04-compute/README.md,"headings, placeholders, claims, tables, checks, and references",none,No consistency defect detected by structural and claim scans.,Phase 7 automated and manual review,none required,passed,"No placeholder, merge marker, or unsafe guarantee was found."
04-compute/amazon-ec2/01-overview.md,"headings, placeholders, claims, tables, checks, and references",none,No consistency defect detected by structural and claim scans.,Phase 7 automated and manual review,none required,passed,"No placeholder, merge marker, or unsafe guarantee was found."
04-compute/aws-lambda/01-overview.md,"headings, placeholders, claims, tables, checks, and references",none,No consistency defect detected by structural and claim scans.,Phase 7 automated and manual review,none required,passed,"No placeholder, merge marker, or unsafe guarantee was found."
04-compute/containers/01-ecs-eks-and-fargate.md,"headings, placeholders, claims, tables, checks, and references",medium,Knowledge-check questions lack nearby answer explanations.,knowledge-check scan,documented as non-blocking editorial debt; no broad content rewrite in Phase 7,passed with limitation,"No placeholder, merge marker, or unsafe guarantee was found."
04-compute/ec2-auto-scaling/01-target-tracking-scaling.md,"headings, placeholders, claims, tables, checks, and references",none,No consistency defect detected by structural and claim scans.,Phase 7 automated and manual review,none required,passed,"No placeholder, merge marker, or unsafe guarantee was found."
04-compute/elastic-load-balancing/01-overview.md,"headings, placeholders, claims, tables, checks, and references",medium,Knowledge-check questions lack nearby answer explanations.,knowledge-check scan,documented as non-blocking editorial debt; no broad content rewrite in Phase 7,passed with limitation,"No placeholder, merge marker, or unsafe guarantee was found."
05-storage/README.md,"headings, placeholders, claims, tables, checks, and references",none,No consistency defect detected by structural and claim scans.,Phase 7 automated and manual review,none required,passed,"No placeholder, merge marker, or unsafe guarantee was found."
05-storage/amazon-ebs/01-overview.md,"headings, placeholders, claims, tables, checks, and references",none,No consistency defect detected by structural and claim scans.,Phase 7 automated and manual review,none required,passed,"No placeholder, merge marker, or unsafe guarantee was found."
05-storage/amazon-efs/01-overview.md,"headings, placeholders, claims, tables, checks, and references",none,No consistency defect detected by structural and claim scans.,Phase 7 automated and manual review,none required,passed,"No placeholder, merge marker, or unsafe guarantee was found."
05-storage/amazon-fsx/01-family-and-selection.md,"headings, placeholders, claims, tables, checks, and references",medium,Knowledge-check questions lack nearby answer explanations.,knowledge-check scan,documented as non-blocking editorial debt; no broad content rewrite in Phase 7,passed with limitation,"No placeholder, merge marker, or unsafe guarantee was found."
05-storage/amazon-s3/01-overview.md,"headings, placeholders, claims, tables, checks, and references",none,No consistency defect detected by structural and claim scans.,Phase 7 automated and manual review,none required,passed,"No placeholder, merge marker, or unsafe guarantee was found."
05-storage/aws-backup/01-overview.md,"headings, placeholders, claims, tables, checks, and references",medium,Knowledge-check questions lack nearby answer explanations.,knowledge-check scan,documented as non-blocking editorial debt; no broad content rewrite in Phase 7,passed with limitation,"No placeholder, merge marker, or unsafe guarantee was found."
