official_service_name,official_category,cpp_listed,saa_listed,cpp_expected_depth,saa_expected_depth,canonical_location,existing_files,coverage_status,current_badges,recommended_badges,importance,terminology_status,action_required,target_path,notes
AWS Activate,See official in-scope service list,false,false,not-applicable,not-applicable,12-billing-pricing-and-support/aws-support/02-support-plans.md,12-billing-pricing-and-support/aws-support/02-support-plans.md; 12-billing-pricing-and-support/aws-cost-allocation-tags/01-overview.md,complete,inspect inventory,,awareness,current official list wording,none,12-billing-pricing-and-support/aws-support/02-support-plans.md,CPP out-of-scope=true; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
AWS Amplify,See official in-scope service list,true,true,awareness,awareness,08-serverless-and-application-integration/aws-appsync/01-overview.md,08-serverless-and-application-integration/aws-appsync/01-overview.md; 14-ai-ml-analytics-and-other-services/business-applications/aws-amplify/01-overview.md; 04-compute/amazon-lightsail/01-overview.md,mention-only,inspect inventory,CPP;SAA,important-supporting,current official list wording,audit/expand or create at target,08-serverless-and-application-integration/aws-appsync/01-overview.md,CPP out-of-scope=false; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
AWS App Runner,See official in-scope service list,false,false,not-applicable,not-applicable,04-compute/aws-batch/01-overview.md,04-compute/aws-batch/01-overview.md; 09-security-and-compliance/aws-waf/01-overview.md,complete,inspect inventory,,awareness,current official list wording,none,04-compute/aws-batch/01-overview.md,CPP out-of-scope=true; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
AWS AppConfig,See official in-scope service list,false,false,not-applicable,not-applicable,missing,,out-of-scope,inspect inventory,,out-of-scope,current official list wording,none,manual-review,CPP out-of-scope=true; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
AWS AppFabric,See official in-scope service list,false,false,not-applicable,not-applicable,missing,,out-of-scope,inspect inventory,,out-of-scope,current official list wording,none,manual-review,CPP out-of-scope=true; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
AWS AppSync,See official in-scope service list,true,true,awareness,awareness,08-serverless-and-application-integration/amazon-api-gateway/01-overview.md,08-serverless-and-application-integration/amazon-api-gateway/01-overview.md; 08-serverless-and-application-integration/aws-appsync/01-overview.md; 14-ai-ml-analytics-and-other-services/business-applications/aws-amplify/01-overview.md,complete,inspect inventory,CPP;SAA,important-supporting,current official list wording,none,08-serverless-and-application-integration/amazon-api-gateway/01-overview.md,CPP out-of-scope=false; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
AWS Application Composer,See official in-scope service list,false,false,not-applicable,not-applicable,missing,,out-of-scope,inspect inventory,,out-of-scope,current official list wording,none,manual-review,CPP out-of-scope=true; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
AWS Application Cost Profiler,See official in-scope service list,false,false,not-applicable,not-applicable,10-monitoring-management-and-deployment/amazon-codeguru/01-overview.md,10-monitoring-management-and-deployment/amazon-codeguru/01-overview.md; 07-networking-and-content-delivery/networking-guide/01-cloud-practitioner-study-guide.md; 12-billing-pricing-and-support/aws-support/02-support-plans.md,complete,inspect inventory,,awareness,current official list wording,none,10-monitoring-management-and-deployment/amazon-codeguru/01-overview.md,CPP out-of-scope=true; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
AWS Application Discovery Service,See official in-scope service list,true,false,awareness,not-applicable,09-security-and-compliance/aws-security-hub/01-overview.md,09-security-and-compliance/aws-security-hub/01-overview.md; 11-migration-and-hybrid-cloud/aws-application-discovery-service/01-overview.md; 11-migration-and-hybrid-cloud/aws-migration-hub/01-overview.md,partial,inspect inventory,CPP;,awareness,current official list wording,audit/expand or create at target,09-security-and-compliance/aws-security-hub/01-overview.md,CPP out-of-scope=false; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
AWS Application Migration Service,See official in-scope service list,true,true,awareness,awareness,12-billing-pricing-and-support/aws-support/02-support-plans.md,12-billing-pricing-and-support/aws-support/02-support-plans.md; 04-compute/amazon-ec2/02-study-guide.md; 12-billing-pricing-and-support/aws-savings-plans/02-study-guide.md,complete,inspect inventory,CPP;SAA,important-supporting,current official list wording,none,12-billing-pricing-and-support/aws-support/02-support-plans.md,CPP out-of-scope=false; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
AWS Artifact,See official in-scope service list,true,true,awareness,awareness,10-monitoring-management-and-deployment/aws-codepipeline/01-overview.md,10-monitoring-management-and-deployment/aws-codepipeline/01-overview.md; 09-security-and-compliance/amazon-verified-permissions/01-overview.md; 09-security-and-compliance/aws-audit-manager/01-overview.md,mention-only,inspect inventory,CPP;SAA,important-supporting,current official list wording,audit/expand or create at target,10-monitoring-management-and-deployment/aws-codepipeline/01-overview.md,CPP out-of-scope=false; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
AWS Audit Manager,See official in-scope service list,true,true,awareness,awareness,07-networking-and-content-delivery/networking-guide/01-cloud-practitioner-study-guide.md,07-networking-and-content-delivery/networking-guide/01-cloud-practitioner-study-guide.md; 12-billing-pricing-and-support/aws-support/02-support-plans.md; 12-billing-pricing-and-support/customer-enablement/aws-recommendation-resources/01-study-guide.md,complete,inspect inventory,CPP;SAA,important-supporting,current official list wording,none,07-networking-and-content-delivery/networking-guide/01-cloud-practitioner-study-guide.md,CPP out-of-scope=false; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
AWS Auto Scaling,See official in-scope service list,true,true,awareness,awareness,04-compute/amazon-ec2/07-placement-groups.md,04-compute/amazon-ec2/07-placement-groups.md; 12-billing-pricing-and-support/customer-enablement/aws-recommendation-resources/01-study-guide.md; 13-architecture-and-design-patterns/transport-layer-security/01-ssl-termination.md,complete,inspect inventory,CPP;SAA,important-supporting,current official list wording,none,04-compute/amazon-ec2/07-placement-groups.md,CPP out-of-scope=false; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
AWS Backup,See official in-scope service list,true,true,awareness,awareness,04-compute/amazon-ec2/07-placement-groups.md,04-compute/amazon-ec2/07-placement-groups.md; 07-networking-and-content-delivery/networking-guide/01-cloud-practitioner-study-guide.md; 12-billing-pricing-and-support/aws-support/02-support-plans.md,complete,inspect inventory,CPP;SAA,important-supporting,current official list wording,none,04-compute/amazon-ec2/07-placement-groups.md,CPP out-of-scope=false; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
